stage,axial,blastomeres,epidermis,eye,glial,hatching_gland,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vasculature
  5-6,13.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,11.24,0,0,0,0,0,0,0,0,11.82,6.18,0,0,0,0,0,0
 10-12,0,3.65,0,0,0,0,0,0,0,0,0,0,16.14,0,5.98,0,16.2,0,0,0
 14-21,0,0,0,1.72,0,0,0,0,0,0.82,0,1.11,1.72,0,0,0,0,2.18,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.85,0,0,3.5,0,0,0,0,0,0,0
 36-46,0,0,0,0,1.16,0,0,0,0,0,0,0,2.67,0,0,2.9,0,0.71,0,0
 48-58,0,0,0.95,0.53,0,0,0,0,0,0,0,0,2.06,0,0,4.24,0,0,0,0
 60-70,0,0,1.43,4.21,0.89,0,0,0,0,0,0,0,4.05,0,0,6.46,0,2.37,0,0
 72-82,0,0,0,0.79,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0
 84-94,0,0,0.82,0,0,0.71,0,0,0,0,0,0,0,0,0,1.87,0,0,0,0
 96-106,0,0,0.65,3,0,0,0.64,1.67,0,0,1.13,0,1.72,0,0,11.47,0,0,0,1.79
108-118,0,0,0,0,0,0,0.48,0,0,0,0,1.25,0.96,0,0,3.72,0,0,0.51,0
120,0,0,0,0,0,0,1.79,0,4.5,0,0,0,16.11,0,0,8.6,0,0,0,0
