stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.06,51.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.58,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,0,0,0,1.58,0,0,0,0,0,0,5.68,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.78,0.6,0,0,0,0,0,0,0,0.92,0,0,5.54,0,0,0,2.94,0,0,0,0,0,0,5.01,0,0,0,0.64,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,1.16,0,0,7.01,0,0.4,0,3.44,0,0,0,0,0,0,0,647.13,0,0,0,34.12,0,0,0,0,0,0,0.93,1.36,0,0,0,0,0
 60-70,0,0,0,9.95,0,0,24.21,0,1.59,12.62,0.79,0,0,0,0,20.33,0,0,2804.06,0,0,3.57,60.02,0,0,0,0,0,0.8,0,2,0,5.13,0,0,0
 72-82,0,0,0,85.73,3.05,0,419.39,3.04,6.66,11.19,15.4,0,0.56,2.27,315.49,6.99,0.89,0,10420.33,2.55,0,8.55,103.48,0,0,0,0,0,2.88,0,8.71,0,34.54,9.86,3.49,0
 84-94,0,0,0,56.8,2.06,0,200.03,0,9.58,8.34,15.39,6.8,0,0,75.53,47.91,0,1.81,11126.6,0,0,0,112.43,0,0,1.6,0,0,4.06,0,3.46,0,44.77,0,3.29,0
 96-106,0,0,1.07,456.56,39.37,0,289.42,1.43,6.92,30.75,90.01,0,0,0.91,367.94,24.97,0,0,8256.03,1183.6,0,5.52,240.37,0,0,2.59,0,4.63,21.08,0,3.7,0,0,46.74,6.58,0
108-118,0,0,0,679.39,18.57,1.25,562.65,0,25.99,40.29,16.65,0.65,0,2.52,295.4,27.39,0,0,10959.8,0,5.65,19.52,186.76,3.35,3.38,3.61,0,0.89,11.02,0.46,5.63,0.46,14.31,0,3.4,3.01
120,0,0,0,145.04,6.36,0,42.91,0,278.31,15.71,6.89,1.66,0,2.25,488.06,3.92,0,16.08,12466.62,0,44.93,1.82,276.07,6.74,3.57,0,0,0,2.51,0,0,2.83,0,1.54,5.27,0
