stage,endocrine_pancreas,epidermis,eye,fin_epithelia,glial,gut,liver,melanocytes,mesenchyme,mucous,neural,periderm,spinal_cord,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0,2.69,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.7,2.87,0,0,0
 36-46,0,1.16,0.9,0,0,0,0,0,0,0,2.01,6.53,0,0
 48-58,0,0,1.25,0,0,0,0,0,0.39,0,6.83,0.91,1.1,0
 60-70,0,3.79,2.06,0.68,0,0,0,0,0,0,6.15,3.12,0,0
 72-82,0,0,0,0,0,0,0,0,5.25,0,1.54,0.51,0,0
 84-94,1.43,1.3,0,0,0.63,1.74,0,5.59,1.78,0,6.05,1.11,0,0
 96-106,0,0,0,0,1.5,0.7,0,0,0,0,8.6,4.53,0,0
108-118,0,1.07,9.64,0,0,1.28,0,0,0,0,9.08,1.55,0,0.52
120,0,10.02,0,1.17,0,5.31,11.03,0,0,0,10.62,5.65,0,0
