stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,vasculature,visceral_smooth_muscle
  5-6,13.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.05,0,0,0,0,0,0
  7-9,0,0,3.82,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75,0,0,0,43.29,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.3,0,0,0,26.09,0,0,0,0,0,0
 14-21,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,3.69,2.17,0,0,0,4.44,0,0,0,0,0,8.07,0.81,3.81,0,0
 24-34,0,1.1,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0.6,0.97,0,0,1.58,26.3,0,0.78,0,0,0,17.59,0,2.88,1.33,0
 36-46,0,0,0,0,0,0,1.83,0,0,0,0,0,0,0,0,1.27,2.54,0,0,0,4.35,0,0,0,0,0,42.35,0,1.58,0,0
 48-58,0,0,0,0,0,0,2.85,0,1.66,0,0,0,1.79,0,0,0.58,1.65,0,0,0,14.11,0,0,0,0,0,14.27,0,0,3.1,0
 60-70,0,0,0,0,0.63,0,2.59,0,0,0,0,0,4.69,0,0,1.34,1.98,0,0,0,1.15,0,0,0,0,0,24.25,0,0,0,0
 72-82,0,0,0,0.72,16.1,0,23.12,0,0,0,0,0,3.88,0,0.65,7.89,6.97,0,0,0,11.71,2.7,0,0,0,0,14.24,0,0,0.96,0
 84-94,0,0,0,1.16,21.47,9.44,6.11,0.91,0,0,0,0,13.75,0.55,0,30.07,1.94,0,1.94,0,12.06,0,0,0,0,5.27,35.16,0,0,0,0
 96-106,0,0.83,0,0.63,12.03,2.75,8.01,2.02,0,2.8,0,2.33,9.83,0,0,41.5,10.77,0.71,0,0.87,10.8,0,0,0,0,0,54.51,0,1.02,2.61,0.93
108-118,0,0,0,3.8,13.51,16.66,22.25,2.1,0,1.76,1.42,0.61,8.21,0,0,40.88,18.49,0.6,0,0.97,20.63,0,0,0.72,0,0,30.91,0,0,9.84,0.68
120,0,0,0,0,1.6,1.14,2.39,0,0,3.06,1.4,0,30.52,0,0,33.36,5.9,1.31,0,0,19.22,0,0,0,0,17.54,24.19,0,0,3.36,0
