stage,blastomeres,erythrocytes,eye,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,pronephros,spinal_cord
  3-4,31.73,0,0,0,0,0,0,0,0,0
  5-6,58.42,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,35.12,0,8.14,0,0
 10-12,0,0,4.03,0,0,69.26,6.19,6.16,9.65,0
 14-21,0,0.9,0,0,1.37,0,0,0,0,0.81
 24-34,0,0,0,0.97,0,2.67,0,0,0,0
 36-46,0,0,0,0,0,0.96,0,0,0,0
 72-82,0,0,0,0.66,0,0,0,0,0,0
108-118,0,0,0,0.91,0,0,0,0,0,0
