stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,12.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.19,0,0,0,0,0,0,0
  5-6,9.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.79,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.55,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.46,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,11.63,5.15,0.99,0,0,0,0,0,0,0,6.61,1.11,0,0,5.68,0,0,1.88,0,0,0,0,0.88,0,3.13,0.94,0,0,39.63,1.86,0,0,0,0
 24-34,0,14.34,11.14,2.02,0,0,0,0,0,0,0,4.79,0,0.82,0,19.7,0,0.66,2.55,0.96,0,0,0,30.51,2.28,57.51,1.03,0,0,92.44,2.18,0,0,1.79,0
 36-46,0,5.73,0.59,0.9,0,0,11.4,0,0,0,0.94,7.99,0,0,0,17.3,0,1.34,2.76,0,0.87,0,0,68.19,7.9,49.32,11.85,0,0.68,68.79,0.7,0,0,0,0
 48-58,0,0.67,0,7.49,0,0,7.25,0.42,0,0,1.96,7.06,0.48,0.51,0,4.98,0,0.67,1.93,5.73,0.95,0,0,32.42,1.31,49,4.07,0.43,0,48.59,1.42,0,0,6.19,1.64
 60-70,0,1.27,0,9.84,0,0,19.38,1.17,0.65,0,3.77,28.95,4.08,0,0,3.97,1.16,0,13.36,18.64,0,0,0,15.5,5.1,34.01,5.38,2.86,0,26.65,0,0,0,9.88,0
 72-82,0,13.22,2.44,13.44,0,0.76,8.72,0,0.81,0,4.01,66.6,0,0,0,3.94,0,0,7.27,74.17,3.94,0,0,54.9,2.76,68.63,19.41,1.08,0,21.59,1.97,15.08,0,18.29,1.68
 84-94,0,20.27,9.51,15.81,0,9.87,36.46,0,1.9,1.05,4.51,191.17,1.42,0,0.73,16.47,0,0,28.09,74.85,6,0,1.32,39.25,3.03,78.04,13.82,11.71,1.4,25.3,5.17,29.26,1.47,2.29,0
 96-106,0,28.56,19.91,28.74,8.54,3.39,54.58,0.68,2.12,0,6.37,221.57,0,1.58,0,15.08,0,5.29,30.47,67.77,1.13,0,1.81,120,2.07,131.61,17.13,6.88,0,31.12,5.48,82.01,0,4.96,0
108-118,0,16.53,21.47,45.48,5.12,19.45,45.59,0,2.83,0,22.8,299.11,0,2,1.61,29.3,4.45,2.44,70.16,60.86,6.23,5.03,0.5,79.96,4.49,82.81,27.47,3.38,0,16.58,1.73,151.02,0,11.55,0
120,0,47.71,10.12,47.7,0,8.32,58.12,4.47,2.55,0,67.2,207.3,0,6.95,0,21.82,0,1.74,65.88,77.22,12.8,0,0,82.19,8.91,62.39,20.78,1.33,0,10.64,0,42.25,0,20.42,0
