stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,76.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,56.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.23,0,0,0,0,0,0,0,0,4.45,0,0,0,0,0,0,0,0,46.75,0,0,0,11,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,27.54,0,0,0,6.71,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,10.06,2.66,5.4,0,0,0,0,0,0,0,0.9,0,0,0.95,0,3.75,77.8,0.88,0,0,0,0,12.52,0,0,3.6,16.62,0,0,0,0
 24-34,0,0,2.06,0,5.62,0,0,0,0,0,0,0,0,0,1.36,7.26,0,2.59,77.2,0,1.63,0,0,0,0,0,0,0,13.95,0,0,0.69,0.63
 36-46,0,0,8.39,0,15.87,0,0.96,2.61,0,0,0,0,0,0,0,2.78,0.71,1.6,75.19,0.57,1.3,0.7,0,0,0,0,0,0,7.4,0,0,0,0
 48-58,0,0,0,0,10.54,0,0,2.34,0.58,0,1.74,0,0,0,0,3.09,0,0.45,19.32,0,0,0,0,0,0,0,0,0,2.37,0,0,0,0
 60-70,0,0,0.65,0,23.32,0,0,1.68,0,0,0,0,0,0,0,4.26,0.98,0,28.92,0,0,0,0,0,0,0,1.58,0,1.88,0,3.01,0,0
 72-82,0,0,3.32,3.99,14.6,0,1.41,4.16,0,0,0,0,0,2.94,0,12.4,0.55,0.53,14.97,0,0.93,0,0,0,0,0,0,0,0.64,0.76,0,0,0
 84-94,0,0,1.08,0,17.31,0,0,5.26,0.59,0,0,0.83,0,0,0,5.96,0,1.98,23.53,0,0,0,0,1.04,0,0.74,0,0,0,0,0,0,9.49
 96-106,0,0,0.79,0,2.68,0,0,0.96,0,0,0.89,0,0,0,2,6.22,0,0,12.99,0,0,0,0,1.57,0,0,0,0,1.99,0,0,0,0
108-118,0,0,0,0,5.31,1.16,0,3.23,0.52,0,0,0,0,0,0,12.49,0,0,29.23,0,0,0.42,0,0,0,0,0.49,0,0,0,0,0.59,0
120,0,0,2.29,0,1.38,0,0,2.63,0,0,0,0,0,0,0,8.46,0,5.09,25.81,0,0,5.44,0,0,0,0,0,0,0,0,0,14.22,0
