stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,17.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,8.65,0,0,0,0,0,0,0,0,0,4.94,0,0,0,4.98,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.59,0,0,0,11.29,0,0,0,5.64,0,0,0,0,0,0,0
 14-21,0,0,0.87,8.56,104.46,0,0,0,0,0,1.67,0,20.11,0,0,0,0,8.13,0,0,0,50.62,1.16,18.19,0,1.8,0,4.76,1.82,0,3.29,7.22,0,0,0,0,0
 24-34,0,0,0,0.6,2.58,3.15,0,0,0,0,0,0,7.62,1.09,0,0,0,0.8,0,0,1.13,41.06,0,19.08,1.14,0,0,2.03,0,0,0,22.53,0,0,10.34,0,0
 36-46,0,0,0,7.83,0,28.51,0,0,1.34,0,0,0,11.46,0,0,0.65,0,1.9,0,0,0.66,95.54,0,12.73,0,0,0,0,0,0,0,78.92,0,0,5,0,0
 48-58,0,0,0,1.08,0,36.15,0.73,0,0.45,2.54,0,0,8.33,0,3.3,0.41,0,1.63,0,0.52,0.42,77.97,0,4.01,0.6,0,0,0,0,0,0,90.21,0,0,3.71,0,0
 60-70,0,0,0,7.17,0,63.94,0,0.69,0,2.67,0,0,16.11,0,0,0,0,5.39,0,0,9.07,93.68,0,0.6,0,0,0,0,0,0,0,37.96,0.61,0,7.01,0,0
 72-82,0,0,0,6.21,1.96,56.93,0,0,0,7.5,0,0,21.45,0.93,0,1.23,0,11.55,0.79,1.11,0.58,128.12,0,0,0,0,0,2.06,0,0,0,50.6,0,0,5.02,0,6.85
 84-94,0,0,0,10.41,0.57,53.73,0.91,0,1.18,8.38,0,0,26.85,0,0,0,0,14.52,0,4.89,1.09,126.14,0,2.76,0,0,0,0,0,0,0,0,0.72,0,4.61,5.84,0.61
 96-106,1.12,0,0,7.81,1,17.56,0,0,0,5.62,1.42,0,23.01,0,0,0,2.86,12.05,3.31,0,5.64,63.79,0,1.03,0,0,0,0,0,0,0,13.03,9.45,0,7.77,0,0
108-118,0,0,0,9.2,5.46,31.43,1.99,0.43,0,11.02,3.34,0,20.91,0,0.43,0,2.23,16.31,0.53,0,4.02,63.04,0,4.73,1.37,0,6.34,4.65,0,0,0,16.79,6.68,2.32,4.79,0.42,0
120,0,0,0,19.88,9.47,36.04,8.86,2.77,0,9.37,1.68,0,55.41,0,25.94,0,0,8.72,1.72,0,3.94,155.71,0,4.66,0,0,0,0,0,0,0,41.08,9.19,0,18.3,0,0
