stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,2.51,5.72,0,0,0,0,0,0,1.15,0,2.04,0,0,0,0,0,86.95,0,1.65,0,0,0,103.78,1.23,7.02,0,0,1.45,6.38,0,5.05,6.46,59.58,0,0,0,0,36.67
 24-34,5.12,2.33,0,0,12.1,0,0,0,2.8,0,0,0,0,0,0,0,47.42,0.81,1.41,0,0,2.87,765.37,1.24,104.5,0,0,1.87,2.17,1.12,0,8.38,174.74,0,0,0,0,63.45
 36-46,0,0,0,0,51.54,3.59,0,0,10.41,0,0,0,0,0,0.56,0.74,6.75,5.25,1.57,0,0,1.39,2117.15,0.63,108.9,0,0,11.56,0,0,0,0,322.82,0,0,0,0,46.87
 48-58,0,16.48,0,0,204.83,0,0,5.82,46.15,0,0,0,0,0,0,0,0,4.04,17.93,0,1.26,7.66,2943.28,4.84,94.53,0.51,0,3.73,0,0,0,0,400.15,0,0,2.02,0,34.38
 60-70,0,25.61,0,0,465.3,0,3.13,1.4,120.63,10.3,0,0,15.98,7.1,0,0,3.45,4.98,17.71,3.18,6.36,0,3767.39,0,96.84,0,0,5.26,0,0,0,0,436.81,0,0,0,0,9.88
 72-82,3.41,9.85,8.67,0,744.29,0,0,1.07,226.75,130.01,0,0.84,1.02,0,0,0,0,6.15,44.25,0.6,0.92,0,3448.91,0,168.86,1.19,0,2.23,0,0,0,0,293.37,3.65,1.29,10.83,2.12,10.3
 84-94,5.26,19.2,5.82,0,679.5,0,0,0.77,224.42,263.17,0,1.81,2.87,0,1.35,1.99,0,6.52,23.86,0,5.57,7.41,2792.31,0,139.6,7.38,0,12.3,0,0,0.69,0,212.24,0,2.03,6.82,0,0
 96-106,6.51,13.4,23.49,0.84,569.04,0.99,10.47,0,213.44,592.12,0,0,5.08,0.61,0.75,0,17.94,3.28,37.07,0,12.6,2.41,2022.97,0,143.27,1.57,0,16.48,0,0,0.6,0,68.87,1.64,0,3.04,4.93,23.65
108-118,2.44,19.93,2.64,3.71,578.14,1.09,0,3.18,216.98,819.19,0,0,3.07,0.51,1.01,0,6.58,2.95,37.93,0,0,6.82,2659.53,0,126.9,6,2.53,10.91,0,0,0,0,84.06,5.42,0,3.15,0,1.42
120,2.94,30.58,8.57,0,649.1,0,0,0,331.13,365.71,0,0,14.47,3.86,0,2.13,18.12,0,61.39,0,10.53,0,3693.67,2.45,159.04,16.03,0,6.35,0,0,0,0,158.7,0,0,7.53,0,0
