stage,blastomeres,epidermis,eye,glial,mesenchyme,muscle,neural,otic,periderm,somites,spinal_cord
  3-4,91.82,0,0,0,0,0,0,0,0,0,0
  5-6,13.66,0,0,0,0,0,0,0,8.52,0,0
  7-9,0,0,7.31,0,0,0,27.71,0,0,0,0
 10-12,0,0,0,0,0,0,3.26,0,0,0,0
 14-21,0,2.02,0,0,1.05,1.32,7.21,0,0,1.02,0.9
 24-34,0,0,0,0,0.66,0,1.3,0,0,0,0
 36-46,0,0,0.61,3.47,4.2,3.53,1.82,0,0,0,1.28
 48-58,0,0,0,0,0.88,0,4.09,0,0,0,0
 60-70,0,0,0,0,0.62,0,0.88,2.77,0,0,0
 72-82,0,0,0,0,2.27,0,3.02,0,0,0,0
 84-94,0,0,0,0,0,0,4,3.3,0.69,0,0
 96-106,0,0,0,0.86,1.66,0,1.38,0,0,0,0
108-118,0,0,0.71,2.55,0,0,1.51,0,0,0,0
