stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,18.34,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.04,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250.81,0,0,78.18,16.32,0,0,0,0,0,0,0,1.23,0,0,0,0,0,0
 24-34,0,0,0,0,12.1,2.07,2.5,0,0,33.96,0,0,2.95,3.05,0,0,2.56,0,1.14,0,1943.02,0,9.45,765.73,250.65,1.34,1.03,0,0,0,6.51,0,3.66,11.4,0,0,14.36,0,1.87
 36-46,0,0,0,0,3.51,0,9.76,0,0,159.62,5.98,0,0,1.12,0,0,0.91,0.81,0,0,3174.27,0,17.37,790.98,374.7,1.57,0.56,0.65,0,0,9.82,0,0,20.73,0,0,1.77,0,0
 48-58,0,0,0,0,13.82,6.9,138.19,0,15.39,174.98,22.59,0,0,4.31,0,0,9.23,0,2.52,1.34,4470.98,0.65,37.14,537.05,716.77,3.28,0.99,0,0,0.39,8.02,0,0,35.99,0,6.31,0.53,0.72,10.53
 60-70,0,0,0,0,6.04,16.82,95.15,0.93,42.54,219.94,6.72,0,0,0.76,2.34,3.07,6.5,0,7.19,0,5460.85,0,58.96,267.86,453.16,0.8,1.56,3.26,0,3.62,11.01,0,0,21.6,0,37.66,0.6,12.62,4.96
 72-82,0,0,0,0,14.3,8.78,232.73,1.33,17,345.23,23.62,6.3,0,1.42,4.66,0,1.13,0,0,0,8822.59,1.37,40.42,397.7,421.14,7.28,0.97,3.01,0,7.66,2.04,0,0,8.2,0.78,50.86,8.41,71.16,8.9
 84-94,1.23,0,0,0,24.19,0.89,294.34,1.62,15.42,231.76,39.54,0,0,2.17,2.06,1.56,3.07,6.46,3.63,0,6678.53,0,92.73,190.77,235.81,8.74,0.7,2.92,0,6.04,5.61,1.02,0,14.03,0,59.17,11.2,48.7,0
 96-106,0,0,0.95,0,17.11,8,140.35,1.64,1.98,144.8,28.26,0,0,0,4.21,0,9.36,1.17,0,0,4787.51,16.82,31,177.38,189.01,3.4,0,1.53,0,11.18,15.39,0,0,0,0,38.15,16.51,33.66,3.54
108-118,0,0,0,0.49,19.84,2.87,106.45,0,9.24,195.89,19.93,1.71,0,0.86,2.45,0,0.64,0,4,0,6035.4,1.92,32.13,135.42,290.19,0,2,1.02,0,38.53,6.9,0,0,5.98,0,47.96,3.78,66.4,0
120,0,0,0,0,7.26,4.24,160.28,0,1.8,177.76,16.96,2.89,0,0,3.52,0,1.91,0,15.95,0,4613.2,4.69,48.98,106.1,176.18,0,0,1.67,0,30.79,0,0,0,14.12,2.31,44.12,0,39.4,0
