stage,axial,blastomeres,endoderm,epidermis,eye,glial,iridophores,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle
  3-4,13.35,910.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.71,341.36,0,0,0,0,0,0,0,0,0,0,0,14.12,0,0,0,0,0,0
  7-9,0,4.87,8.6,0,8.84,0,0,0,0,76.59,5.44,0,9.03,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,11.56,0,0,0,0,9.1,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.96,1.38,0,0,0,0,1.11,0,0.83,1.69,0
 24-34,0,0,0,0,1.47,0,0,0,0.68,16.09,0,0,0,0,0,0,0,0,5.5,0
 36-46,0,0,0,0,2.59,1.3,0,1.3,0,31.07,0,0,0,1.66,1.61,0,0,0,11.6,0
 48-58,0,0,0,0,8.51,0.61,0.39,0.48,0,21.48,0,0.67,0,0,0,0,0,0,2.77,0
 60-70,0,0,0,1.05,27.13,0.93,2.53,3.5,0,22.46,0,0,0,0,0,0,0,0,4.13,0.73
 72-82,0,0,0,0,6.6,0,0,0,0,3.09,0,0,0,0,0,0,0,0,1.44,0
 84-94,0,0,0,0,0,1.82,0,0.59,0,3.09,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,3.39,1.55,0,0,0,6.37,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,3.34,3.12,3.47,0,4.47,0,10.45,0,0,0,0,0.79,0,0.97,0,1.53,0
120,0,0,0,1.72,0,0,0,1.69,0,7.58,0,0,0,0,0,0,0,0,0,0
