stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,12.63,268.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.55,0,0,0,0,0,0
  5-6,6.86,86.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.16,0,0,0,0,0,0
  7-9,0,0,0,0,10.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.16,0,0,19.04,0,0,0,0,0,0,0,0
 10-12,0,4.52,0,0,14.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.29,0,0,27.14,0,0,0,0,0,0,0,0
 14-21,0,0,12.39,2.16,0.8,0,0,0,0,0,0,0,0,0,0,0.83,0,0,1.89,17.55,0,0,0,0,0,1.45,3.8,7.37,0,0.98,0
 24-34,0,0,1.03,1.53,11.16,0,0,0,2.84,0,0,0,1.17,0.72,0,3.78,1.09,0,0,161.52,0.6,0.98,0,0,3.68,0,1.65,18.01,0,1.74,0
 36-46,0,0,3.52,0,26.93,0,0,0,4.41,0,0,0,0,0,0,14.2,0,0,1.89,181.39,2.12,0,0,0,10.6,0,0.6,28.06,0,1.03,0
 48-58,0,0,1.7,0,43.73,0,0.55,0.94,12.99,0,0.63,8.56,3.61,0,2.28,8.3,0,0.5,0,102.2,0,0.87,0,0,0.73,0,0,14.66,0,0,1.78
 60-70,0,0,0,1.14,71.11,0,0,1.21,4.92,0,0,0,0,0,0,22.85,3.18,0,0,135.7,2.08,0.59,0,0,4.05,0,0,9.37,0,1.11,6.6
 72-82,0,0,1.9,0.5,37.75,3.55,0.64,0,0.98,0,0,0,0,0,0,17.04,0,0,0.62,65.74,1.63,2.29,0,0,4.23,0,0,11.13,0,3.43,0
 84-94,0,0,0,10.25,25.68,0,0,0,15.63,0.96,0,1.26,0,3.94,0,15.4,2.12,0,1.2,46.89,0,0.9,0,3.32,3.97,0,0,1.67,0,1.07,0
 96-106,0,0,2.98,0,12.29,0,1.21,0,2.99,0,0,3.83,0,0,0,12.29,0,0,0,20.16,0,0.96,0,1.28,9.34,0,0,5.77,0,0,0
108-118,0,0,11.14,6.02,24.79,0,0.52,0,1.42,7.14,0,0,0.6,0,0,1.9,0,1.29,0.42,54.86,0,0.95,0,0,5.28,0,0,0.62,0.46,1.09,0
120,0,0,6.94,1.95,45.95,0,2.07,6.57,8.45,2.94,0,1.57,0,0,3.49,15.77,0,0,3.87,73.39,12.84,0,0,0,10.15,0,0,4.03,0,5.65,0
