stage,blastomeres,endoderm,epidermis,eye,liver,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,somites,spinal_cord
  5-6,38.17,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.32,0,3.6,0,0,0,22.42,3.25,0,0,0
 10-12,0,0,0,0,0,0,0,7.29,9.05,0,5.41,0
 14-21,0,0,0,0,0,0,0,1.14,0,0,0,0
 24-34,0,0,0.79,0,0,0,0,2.78,0,0,0,0.66
 36-46,0,0,0,3.48,0,0,0,3.66,0,0,0,1.06
 48-58,0,0,0,2.11,0.37,0.45,0,0.81,0,0,0,0
 60-70,0,0,0,0,0,0,0,0.92,0,0,0,0
 72-82,0,0,0,1.07,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,6,0,5.57,0,0
 96-106,0,0,0,0,0,0,1.18,1,0,0,0,0
