stage,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36,0,0,0.83,8.4,0.97,0,0,0,0,4.57,0,1.83,6.54,0,0,0,0
 24-34,2.6,2.05,0,11.71,0,0,0,1.05,0,0,0,0,0,0,0,0,7.36,0.61,0,1.25,40.89,0,0,1.37,0,1.1,0,0,1.86,8.96,0,0,0,0
 36-46,1.08,0,0,6.23,0,2.53,0,0.83,0,0.59,0,0.89,1.09,0,0,0,4.35,0,0,0,42.56,0,0,0.82,0,11.99,0,0,0,13.39,0,0.56,0,0
 48-58,1.9,0,0,9.16,0,0,0,2.79,0,0,0,0,0,0,0,0.53,6.51,0,0,0.63,66,0,0,0,0.53,2.65,0,0,0,9.73,0,0.47,0,0
 60-70,5.84,0,0,44.94,0,0.94,0,4.09,0,0,0,0.59,0,0,0,0,9.13,0,0,0,39.42,0,0,0.91,0,4.24,0,0,0,2.87,1.06,1.92,0,0
 72-82,1.79,0,0,29.81,0,0,0,4.05,0,0,0,0.81,0,0.75,0,1.81,8.39,0,0,0,38.94,0,1.23,0.49,0,2.79,0,0,0,5.61,0,0,0.51,2.74
 84-94,4.76,0,0,11.97,0.55,0,0,3.06,2.6,0,0,1.4,0,0,1.44,0.98,6.53,0,0.82,0.71,37.45,0,0,1.18,0,14.32,0,0,0,0,0,0.76,0,0
 96-106,0.59,0,0,52.59,0,0.62,0.82,0,0,0,0.87,6.73,0,0,0,0,8.78,1.41,0.66,1.79,14.34,0,0.59,0,0,11.42,0,0.63,0,0,0,1.27,1.24,0
108-118,0.42,0,1.29,11.85,0,0.9,0,0.44,0,0,0,1.69,1.14,0.51,0,0,0,0,0,0,26.27,0,1.5,0,0,15.95,0,0,0,0,0,3.03,0,0
120,2.45,1.3,0,19.41,0,0,0,3.18,0,0,0,3.56,1.72,0,0,0,1.47,0,5.31,0,43.49,0,0,3.9,0,2.16,0,0,0,0,0,4.9,0,0
