stage,axial,blastomeres,epidermis,eye,glial,mesenchyme,neural,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature
  3-4,10.46,14.09,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,27.51,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,23.32,0,3.94,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,7.63,0,0,0,0
 14-21,0,0,0.82,0,0,0,0,0,0,0,0.82,1.21,0
 24-34,0,0,0,0,0,0,3.24,0,0,0,0.61,0,3.73
 36-46,0,0,0,0,0,0,5.24,0,0,2.55,0,0,0
 48-58,0,0,0,3.1,0,0.39,18.59,0.64,0,0,0,2.08,0
 60-70,0,0,0,0,1.21,0,5.72,0,0,0,0,0.88,0
 72-82,0,0,0,3.05,0,0,3.52,0,0,0,0,0,0
 84-94,0,0,0,3.09,0.64,0,0,0,0,0,0,0,0
 96-106,0,0,0,5.41,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.03,0,0.87,2.43,0,0,0,0,0,0
