stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,10.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.77,58.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,3.24,0,0,0,0,4.51,0,0,0,0,0,0,0,0,0,0,0,160.24,0,0,0,32.17,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.6,0,27.96,0,0,0,10.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.38,0,0,0,31.93,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.34,36.04,0,0,4.2,0,0,0,0,0,0,0,5.34,0,0,3.75,0,5.91,0.95,0,5.67,29.87,8.04,0.83,0,0,0,1.97,1.81,0,2.78,5.34,0,0,1.5,0,0
 24-34,0,0,0,4.69,15.88,0,0,3.5,0.62,0,0,2.98,0.76,0,0,0,0,0,2.8,0,7.32,0,0,4.9,30.64,1.79,0,3.12,0,0,0,0,2.35,0,9.11,0,0,2.6,0,0.96
 36-46,0,0,0,0,2.84,0,0,1.33,1.15,0.84,0,3.17,0,0.72,0,0,0,0,0.57,0,27.45,0,0,3.7,15.28,4.42,0.75,0.83,0,0,3.14,0,0,0,1.31,0,0,2.05,0,0
 48-58,0,0,0,0,2.89,1.15,0,4.18,0,1.51,2.69,5.2,0,0.58,0,0,0,0,0,0.83,12.25,0,0,2.42,6.99,0,0.48,1.09,0,0,0.67,0,0,0,1.38,0,0,13.22,0,0
 60-70,0,0,0,0,4.07,0,0,1.94,0,2.24,23.26,10.33,0,0,0,0,0,0,4.98,0,31.78,0,2.57,2.69,4.97,0,2.02,1.41,0,0.71,1.69,0,0,0,2.1,0,1.32,6.43,0,0
 72-82,0,0,0.78,0,6.06,0,0,1.61,6.29,1.57,74.66,9.98,0,1.11,0,0,0,3.87,4.35,0,95.48,0,3.9,3.53,7.34,0,3.24,4.5,0,2.24,8.24,0,0.52,0,7.83,0,2.49,16.03,3.59,0
 84-94,0,0,6.86,0,3.61,1.73,0,7.47,0,2.77,121.33,31.62,0,7.58,1.25,0,3.9,1.57,33.24,0,56.79,0,5.42,5.8,26.57,0.56,11.18,3.67,0,3.14,8.06,0,1.31,0,4.57,0,1.25,12.52,5.29,0
 96-106,0,0,3.9,0,21.8,16.55,1.32,16.28,6.26,0,239.74,32.5,0,19.85,1.34,0,0.58,3.2,43.27,0,211.05,0,10.38,17.74,37.21,0,24.91,7.81,0,13.08,10.97,0,4.65,0,16.09,0,5.05,58.36,4.94,0
108-118,0,0,0.92,0,31.24,1.35,1.3,45.77,11.19,3.45,323.86,35.36,0,8.27,0.51,0.42,7.78,3.79,30.87,0,307.35,0,19.58,29.76,33.95,2.69,13.76,18.81,0,11.96,0,0,12.94,0,4.45,1.07,9.43,55.23,18.41,0
120,0,0,11.25,4.41,98.53,8.57,0,50.09,8.69,1.26,439.01,60.27,0,6.79,1.61,0,0,0,39.23,0,363.94,0,15.2,15.27,101.19,0,1.32,28.1,0,44.22,1.25,0,19.14,0,7.54,0,6.85,85.9,12.23,0
