stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,taste,vasculature,xanthophores
  3-4,15.46,329.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.67,78.2,0,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.64,0,0,13.49,0,0,0,4.32,0,0,0,0,0,0,0,0,14.82,0,0,0,4.73,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,4.32,0,0,0,0,0,0,0,0,5.85,0,0,0,0,0,0,3.53,0,0,0,0
 14-21,0,0,0,0.93,0,0,0,0,0,0,2.57,0.92,0,0.96,0,0.83,0.95,0,0,0.88,0,0,0,0,1.44,0,0,0.93,0,0,0
 24-34,0,0,0,0,2.97,1.27,0,0,0,0.67,2.21,1.38,0,6.9,0,0.62,20.27,0,0,19.14,0,0,0,0,0,0,0,2.59,0,22.94,0
 36-46,0,0,0,0,0,0,1.61,0,0,0,0,0,0,4.32,0,0,24.36,0,0.67,11.12,0,0,0,0,4.85,0,0.58,5.33,0,8.65,0
 48-58,0,0,0,0,1.36,0,6.72,0.54,0,0.54,0.41,0,0,9.52,0,2.06,20.17,0,0,14.54,0,0,0,0,4.88,0,0.85,2.87,0,5.13,1.08
 60-70,0,0,0,0,0.74,0,4.92,0,1.15,1.65,1.34,0,0,0,0,4.34,25.17,0,0,14.63,0,0,0,0,0,0,3.65,1.5,0,0.83,0
 72-82,0,0,0,0,0,0,5.81,0,0.87,4.3,0.59,1.15,0.49,1.26,0,14.16,26.85,0,0.82,13.11,0,0,0,0,1.03,0,0.52,0,0,4.97,0
 84-94,0,0,1.04,0,8.27,0,3.25,0,0.63,18.68,5.62,0,0,3.67,0,14.6,49.92,0,0,10.2,0,0,0,0,4.36,1.4,1.48,4.01,0,1.6,0
 96-106,0,0,0,0,4.51,8.54,8.88,0.66,0,46.08,0,1.37,0,1.14,0,14.97,46.49,0,0,10.43,0,0,0.76,0,6.78,0,0.7,0,0,8.02,0
108-118,0,0,0,0,11.68,7.7,13.08,0,2.51,56.62,0,0,0,3.15,0,8.83,53.69,1.75,1.83,7.48,0.76,0,0,0,3.66,0,6.45,0,0.66,1.91,0
120,0,0,0,0,22.99,11.92,0,0,0,40.03,0,0,0,0,1.01,21.32,28.21,0,0,2.4,1.94,1.26,0,0,8.22,0,5.37,0,1.27,0,0
