stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,16.57,26.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33,11.02,0,0,0,0,0,0,0
 14-21,0,0,0,3.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.48,0,0,0,0,0,4.65,0,0,0,0,0,0,101.64,0,0,0,0,0,0,0
 24-34,0,0,0,2.12,3.09,0,0,0.69,0,0,0,0,0,0,0,3.65,0,0,177.42,0,0,0,0,0,10.38,0.62,0,0,0,0,0,29.19,0,1.64,0,0,1.71,0,0
 36-46,0,0,0,1.13,1.2,0,0,4.94,0,0,0,0,0,0,0,0,0,0,233.91,0,0.71,0,0,3.51,16.24,0,0,0,0,0,0,54.95,0,5.28,0,0,0,0,1.05
 48-58,0,0,0,0,0,0,0,3.23,0,0,0,0.68,0,0,0,0,0,0,636.76,0.83,0,0,0,0,29.38,0,0,0,0,6.27,0,7.15,0,0,0,0,0,0,0
 60-70,0,0,0,0,2.63,0,0,29.23,0,3.28,0,7.94,0,0,0,0,0.76,0,868.5,4.02,4.11,2.4,0,1.61,26.66,5.6,0.63,0,0,2.61,0,6.59,0,5.28,0,0,1.49,0,7.97
 72-82,0,0,0,0,5.31,17.83,0,50.48,0,1.55,0.74,9.76,1.12,0,1.47,0,0,0.65,1658.15,0,28.89,3.17,0,1.69,140.1,0,0,1.46,0,13.03,0,22.06,0,7.29,2.09,0,3.83,1.78,6.06
 84-94,0,0,3.52,2.74,10,8.01,1.68,77.28,0.69,0.74,0,16.01,5.9,0.7,5.68,0,6.35,0,5864.83,0,29.45,1.71,2.51,0,257.63,1.16,0,0,0,16.19,0,7.54,0.73,0,0,1.52,2.37,2.07,2.12
 96-106,0,0,0,1.96,56.04,72.68,6.87,210.21,1.34,12.3,20.9,71.64,23.04,4.04,15.08,15.65,2.9,4.05,9388.42,8.11,160.28,14.08,5.39,2.56,1306.18,3.02,13.94,5.43,4.93,115.81,0,15.8,0.6,18.89,9.07,2.49,31.19,6.97,22.88
108-118,0,0,0.89,0.46,50.04,44.55,15.72,326.75,1.83,9.95,7.3,84.09,20.24,0.69,10.93,3.92,6.33,4.9,18761.15,2.15,158.67,6.46,2.1,19.22,1278.16,0.54,6.83,10.5,6.21,77.07,0,8.6,1.91,15.31,2.82,0.99,17.98,3.59,37.96
120,0,0,0,0,34.32,8.77,2.42,175.12,1.13,18.42,6.63,66.28,13.06,12.58,26.06,2.42,10.62,0,9317.18,0,150.58,0,0,18.18,825.71,1.17,5.11,4.8,0,15.43,0,18.5,0,2.39,0,9.1,0,0,17.26
