stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,42.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,78.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.39,0,0,7.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.47,0,0,0,32.42,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,5.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.23,0,0,0,152.58,0,0,0,15.49,7.31,0,0,0,0,0,0,0
 14-21,0,0,0,0,21.05,33.54,0,1.05,0,0,0,0,0,0.91,2.21,0,0,0,0,0,0,48.08,0,0,92.58,46.07,0,0,0,0,0,0,0,49.02,0,2.94,67.19,6.81,0,36.9,0,0
 24-34,0,0,0,0,3.49,4.55,0,14.46,0,0,1.4,3.05,0,0,6.87,0,0,0,0,0,0,202.42,0,0,106.44,136.55,0,0,3.2,0,0,0.97,0,0,2.17,0,24.9,31.04,0,197.39,0,0.93
 36-46,0,0,0.98,0,4.25,0,0,26.15,2.17,0,10.47,16.15,0,0,3.63,0,0.61,0,1.79,0,0,290.79,0,0,50.76,108.49,0,2.24,1.31,0,0,6.76,0,0,0,4.29,4.03,10.4,1.85,123.62,0,0
 48-58,0,0,0,0,4.06,0,0,52.94,3.92,0,9.49,6.52,0,18.35,4.68,0.48,0,6.93,0,0,0.54,334.48,0,1,29.32,195.3,0,0.58,2.01,0,0.61,7.42,0,0,0,6.39,0,21.27,0.89,179.31,0,0
 60-70,0,0,0,0,11.54,4.64,0,44.33,0,15.55,39.07,3.04,4.03,1.38,4.6,5.74,0,11.33,0,0,0,403.76,0,4.13,46.83,261.32,1.03,0,12.69,0,1.21,0,0,0,0,0.76,0,19.75,9.94,103.53,3.69,0
 72-82,0,0,3.29,0,6.78,0.64,0,88.27,1.23,0.53,27.61,16.07,0,5.71,9.63,6.72,0,1.38,0,0,0,571.43,0.93,25.25,51.83,246.43,9.68,0.92,3.88,0,3.47,8.93,0,0,0,0,0,19.07,10.98,209.86,6.29,0
 84-94,0,0,3.73,0,4.83,0.68,0,175.35,8.86,1.88,29.72,7.49,0,3.37,3.41,10.15,0,6.31,1.91,2.65,0,527.09,1.27,32.88,22.76,194.34,0,1.79,10.77,0,4.05,9.62,2.8,0,0,0,0,12.84,24.27,168.22,18.51,0
 96-106,0,0,1.07,0,18.95,6.47,0,153.35,3.53,1.38,21.01,45.45,0,0,3.93,13.69,0,4.91,0.77,13.33,0,506.89,2.43,14.14,24.95,168.13,0,0,18.45,0,0.79,18.33,0,0,0,0.77,0,10.78,15.83,158.67,12.87,0
108-118,0,0,0,0.49,14.31,2.39,0.45,140.2,4.16,2.64,30.24,33.02,0,0,5.93,14.07,2.59,14.14,0,3,0,532.81,8.72,32.11,23.52,319.52,0.47,3.96,9.75,0,14.07,12.92,0,0,0.42,1.1,0,5.62,15.73,164.01,7.82,0
120,0,0,5.88,0,15.52,0,0,238,4.3,1.62,45.38,11.62,10.13,0,22.44,5.91,3.6,24.99,0,1.84,0,428.94,1.49,32.99,33.81,398.78,6.22,4.59,11.42,0,0,0,0,0,0,0,0,20.18,13.06,265.77,38.96,0
