stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,32.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.71,97.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.32,0,0,0,0,0,0,0,0,0,0
  7-9,7.47,0,0,0,0,0,0,11.92,0,0,0,0,0,4.43,0,0,0,0,0,0,0,0,0,0,0,120.2,0,0,0,35.93,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,13.51,0,5.89,0,0,0,26.9,0,0,0,0,0,17.5,0,0,0,0,0,0,0,0,0,0,0,276.03,9.32,0,0,65.36,0,0,0,0,13.92,0,0,0,0,0,0,0
 14-21,0,0,1.41,3.88,39.54,6.89,0,7.67,0,0,0,2.73,3.75,0,0,0,1.78,0,0.92,0,0,19,0,0,14.68,177.68,2.58,0,2.71,2.7,0,4.92,0,4.94,4.69,10.46,57.52,0,0,4.39,0,0
 24-34,0,0,0,1.35,19.66,0.6,0,41.99,0,2.16,0,15.46,0,1.08,0,0.6,3.01,0.92,2.85,0,0,37.08,0,0,20.28,460.93,0.95,6.8,2.77,0,0,25.46,0,0,1.34,4.61,111.56,0,0,21.75,0,2.05
 36-46,0,0,0,0,20.45,0,0,107.85,0,2.44,9.3,30.97,0,0,0,0.58,12.37,0,2.21,0,2.7,64.98,0,0,15.99,659.89,7.17,9.49,1.58,0,2.87,46.47,1.17,0,0.6,0,157.17,0,0.62,15.52,0,5.5
 48-58,0,0,0.54,0,13.09,0.69,0,220.58,0,0,1.37,58.36,0,1.09,3.49,3.72,6.46,0,1.37,0.39,2.49,89.55,4.61,4.83,13.64,476.8,14.63,8.59,10.27,0,0,29.19,0,0,0,0,99.5,0,0,19.81,0,0.93
 60-70,0,0,0,0,5.39,0,0,304.13,0,5.87,2.09,59,2.01,0,0,3.15,0,2.53,1.94,0,0,120.71,0,0.69,9.92,245.65,0,7.56,2.69,0,1.08,23.15,0,0,0.68,0,64.73,0,1.81,5.9,2.72,10.82
 72-82,0,0,2.54,0,20.1,28.63,0,421.29,0,2.05,3.61,80.76,4.04,0.51,6.7,3.76,1.77,2.09,8.48,0,0,181.55,3.8,9.38,16.53,423.28,3.59,8.39,4.12,0,1.67,17.68,0,0,0,0,49.58,5.17,6.29,23.35,2.5,9.31
 84-94,0,0,2.16,0,28.68,16.62,1.39,222.2,3.03,2.27,5.68,68.18,9.39,2.55,4.96,13.31,3.41,8.29,2.91,2.67,0,168.89,8.66,7.06,7.05,260.46,6.23,2.15,7.66,0,11.23,70.91,0,0,3.46,0,31.84,4.75,1.72,15.57,13.62,3.71
 96-106,0,0,0.81,0,32.01,19.94,0,128.76,0,4.53,4.11,108.15,23.99,0,1.33,10.88,8.11,7.72,5.18,8.31,0,178.99,0.71,5.99,11.25,209.78,1.22,19.01,6.51,0,0,62.15,0,0,0.71,0,22.29,8.34,0.87,23.76,3.15,3.85
108-118,0,0,0,1.98,49.7,29.39,5.34,254.57,0.46,7.54,4.2,120.85,18.84,0,2.14,23.01,2.2,5.87,4.73,7.35,0,212.67,19.1,6.51,20.86,383.3,5.56,17.14,7.36,0,8.71,58.97,0,0,0.98,0,20.21,6.98,4.52,17.14,4.31,14.73
120,0,0,0,0,37.13,5.48,0,187.88,1.04,8.63,12.75,52.64,14.31,0,12.35,21.33,0,7.91,0,0,0,103.91,2.54,0,12.78,336.93,0,17.51,3.23,0,0,24.05,0,0,1.86,0,21.63,0,19.72,23.72,1.43,0
