stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,72.07,958.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.26,0,0,0,0,0,0
  5-6,58.19,1409.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.87,0,0,0,33.67,31.06,0,0,0,0,0,0
  7-9,42.82,37.31,13.13,0,0,45.31,0,0,0,46.96,0,0,0,0,0,0,0,626.48,15.34,0,0,255.89,3.29,0,0,0,0,0,0
 10-12,0,10.28,11.38,0,9.23,19.29,0,0,0,0,0,0,0,0,0,0,0,298.32,3.92,0,0,62.02,0,0,0,0,0,0,0
 14-21,0,0,0,8.5,0,3.38,0,0.88,0.85,0,0,0,0,3.07,0,0,3.42,27.88,0,1.23,0,0.91,4.31,11.99,2.98,16.54,0,0,0
 24-34,0,0,0,0.63,0.91,5.71,0,3.03,0,0,0,0,0,9.78,0,0,1.49,34.7,4.23,0,0,0,44.81,0,0.75,5.94,0,0,0
 36-46,0,0,0,2.76,0,4.36,0,0,0,0,1.52,0.61,0,4.22,0,0,3,7.08,0,0,0,0,17.16,0,0,0.89,0,0,0
 48-58,0,0,0,0,0,6.2,0,1.84,0,0,0.55,0,0,4.53,1.11,0.71,0.62,10.02,0,0,0,0,19.35,0,0,1.67,0,0,0
 60-70,0,0,0,1.02,0,11.66,2.17,1.77,0,0,0,0,0,6.11,0,8.3,1.42,8.26,0,0,0.76,0,13.26,0,0,2.89,0,0,0
 72-82,0,0,0,0,0,17.72,0,2.53,0,0,0,0,0,1.27,0,0,0,19.09,6.42,0,0,0,2.93,0,0,0.55,0,0,0.55
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,6.27,0,0,0,7.22,0,0,0,0,13.19,0,0,0,0,0,0
 96-106,0,0,0,0.6,0,4.68,0,0,0,0,2.82,0,4.87,3.63,1.75,0,0,9.15,0,0,0,0,8.97,0,0,0,0,2.81,0
108-118,0,0,0,0,0,3.42,0,0.88,3.8,0,0,2.62,0,3.44,0,0,0,10.53,0,0,0,0,1.97,0,0,0,0.99,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.87,0,0,0,0,7.16,0,0,10.42,0,0,0
