stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,melanocytes,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,taste,xanthophores
  5-6,8.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.59,5.4,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.64,0,4.99,7.72,0,0,0,0,0,0
 14-21,0,149.51,24.48,0,0,0,0,0,0,0,0,0,0,2.33,0,0,3.12,0,1.47,51.49,0,3.71,0,0,0,0
 24-34,0,166.38,0,0,0,0,0,0,0,0,0,0,0,0,0,2.67,222.48,1.39,0,2.5,0,0,0,6.02,0,0
 36-46,0,137.31,0,0,0,0,0,0,0,0,0,0,6.66,0,0,0,267.91,0,0,0,0,0,0,1.83,0,0
 48-58,0,42.16,1.2,0,0,9.05,0,0,1.96,0,0.38,0,0,1.89,0,0.38,1046.04,0,0,18.77,0,0,4.23,13.55,0,0
 60-70,0,2.85,0,0,0,32.91,0,0,0,0,0,0,0,2.71,0,1.36,455.21,0,0,0,0,0,19.09,15.07,0,4.12
 72-82,0,11.44,0.76,4.02,0,30.31,0,0,12.99,11.81,0,0,0,5.12,0,0.54,3314.63,0,0,3.49,0,0,153.27,107.17,0,6.27
 84-94,0,32.1,2.05,0,0.92,86.17,0,0,8.7,2.04,0,0,5.72,8.44,0,0,2583.98,0,0,2.03,0,0,0,126.87,0,0
 96-106,0,11.99,5.55,0,0,19.91,0,0,2.39,0,2.53,0.86,0,13.65,0,0.76,2694.77,1.42,0,9.36,40.4,0,95.92,50.18,1.88,0
108-118,0,7.09,7.81,0,0.53,42.75,2.46,0.59,16.17,1.9,0,0,0,22.13,3.07,0.91,2143.39,0,0,29.37,0,0,40.56,2.45,0,0
120,0,19.08,0,2.71,0,1.29,0,0,0,0,0,0,0,15.02,0,0,1813.73,0,0,0,0,0,28.34,0,0,0
