stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,24.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,4.66,0,0,0,0,0,0,0,0,0,0,0,0,10.59,0,24.44,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.75,0,12.18,0,0,5.27,0,0,0,0,0,0
 14-21,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,2.53,0,1.26,1.27,0,0,0,0,0.91,5.26,0,0,0,0,0
 24-34,0,5.74,0,0,0,0,0,0,0,0,0,0.62,0,0,0,2.24,0,3.52,23.81,0,0,0,0,4.68,10.34,0,0,4.17,0,0
 36-46,0,5.92,0,0,0,0.94,0,0,0,0,0,1.71,0,0,0,42.68,0,3.55,47.96,0,0,0,0.65,16.15,11.07,0,0,9.32,0,0
 48-58,0,1.06,0,0,0,15.19,0,6.07,0,0,0,0.44,0,0,0,39.16,6.91,2.52,37.74,0,0,0,2.22,17.66,23.68,0,0,9.05,0,0
 60-70,0,2,0,0,0,38.63,0,0,5.22,1.47,4.35,0,0,1.16,0,17.55,9.18,1.08,146.78,0,0,0,0,3.48,12.74,0,4.76,2.43,0,0
 72-82,0,0,2.83,0,0.76,105.63,0,0,0,3.03,0.72,0,0,0,0,26.78,25.52,0.96,146.05,1.12,0,0,1.29,21.78,2.09,0,4.97,14.37,5.22,0
 84-94,0,1.14,3.1,0,1.75,147.71,4.62,0,1.19,14.74,0,1.22,0,0,0.57,21.59,18.75,1.5,123.47,0,0,0,1.62,6.01,0,2.87,4.95,21.42,6.25,0
 96-106,0,0.93,10.05,0,9.54,129.71,0,0,1.65,5.36,0.67,3.18,0.78,0,0,22.83,29.64,4.66,157.66,0.74,0,20.35,0,12.79,0,0,17.88,26.35,24.8,0
108-118,0,2.68,6.59,1.37,109.81,198.62,0,0.48,5.51,7.21,0.91,0.8,2.78,0,0.61,40.82,31.87,1.86,195.52,0,0,5.57,0.79,15.49,3.12,5.25,36.49,21.12,21.96,2.22
120,0,4.34,11.12,0,7.48,160.19,0,0,0,5.6,1.94,12.77,3.6,11.59,0,38.08,65.67,1.05,234.75,0,0,5.46,0,23.01,9.04,5.08,14.66,15.88,37.07,0
