stage,epidermis,eye,glial,heart,mesenchyme,neural,olfactory,otic,periderm,spinal_cord
 14-21,0,0.91,0,0,0,1.27,0,0,0,2.33
 24-34,0,0,0,0,1.65,7.48,0,0,0,0.86
 36-46,0,1.93,0,2.07,0.65,12.47,0,0,0,2.13
 48-58,0,1.2,0,0,0,5.94,0,0,4.31,2.31
 60-70,0,0,0,0,0,8.6,0,0,0,0
 72-82,0,1.31,5.46,0,1.2,2.93,0,0,0,3.18
 84-94,0,0,0,0,0,3.28,3.11,0,2.69,0
 96-106,0,0,0,0,3.65,6.5,0,0,0,0
108-118,1.91,2.86,0,0,0.59,11.87,0,0.66,0,0
120,1.63,0,2.22,0,0,10.24,0,0,0,0
