stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,heart,immune,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,0,154.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,241.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.83,6.05,14.81,0,4.36,0,0,0,0,0,0,0,0,69.61,0,0,0,42.1,0,0,0,0,0,0,0
 10-12,0,0,19.19,0,3.67,0,0,0,0,0,0,0,0,64.68,0,0,0,5.46,0,0,7.47,0,0,0,0
 14-21,0,0,0,6.03,0.87,0,3.16,0,0,0,0,0,0,27.36,0,1,2.48,0.88,0,0,0,5.3,4.89,8.01,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0.68,1.82,27.66,0,0,0,0,0,0.74,0,0.69,0,4.7,0
 36-46,0,0,0,0,8.3,0,2.01,0,0,0,0,0,0,32.27,0,0,0,0,0,2.82,0,0,0,11.28,0
 48-58,0,0,0,0,13.53,0,4.83,0.89,0,0.45,0,0.39,0.82,39.46,0,0.65,0,0,0,2.88,0,0,0,10.36,0
 60-70,0,0,0,0,26.8,0,1.26,0,0,0,3.58,4.32,0,47.5,0.63,0,0,0,0,0,0.68,0,0,1.82,0
 72-82,0,0,0,0,25.36,0,7.83,0,0,0.74,0,5.16,0,55.16,0,0,0,0,0,0,0,0,0,5.63,1.95
 84-94,0,0,0,0,13.26,0,6.01,0,0,0,0,2.48,0,22.39,0,0,0,0,0,0,0,0,0,2.06,0
 96-106,0,0,0,0.64,24.07,0,2.16,0,0.83,0,0,5.01,0,41.03,0,2.47,0,0,0,0.59,0,0,0,1.13,0
108-118,0,0,0,0,21.92,0,1.88,0,0.62,0.48,0,1.56,0.5,25.45,0,0,2.33,0,2.86,0,0,0,0,0,1.32
120,0,0,0,1.23,11.74,17.92,8.62,0,0,0,0,0,0,85.77,0,0,0,0,0,0,0,0,0,0,0
