stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,heart,immune,mesenchyme,muscle,neural,olfactory,spinal_cord,vasculature,visceral_smooth_muscle
 14-21,0,1,2.29,0,0,0,0,0,0,0,0,8.66,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.53,0.63,0,3.59,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,4.04,0,2.27,0
 48-58,0,0,0,3.74,0,0,1.2,0.48,0,0,0,0.64,1.23,0.62,1.2,0
 60-70,0,0,0,0.77,0,0,1.19,0,0,0,0,0,0.96,0,5.2,0
 72-82,0,0,5.46,4.55,0,0,0,0,3.56,1.61,0,5.57,1.49,1.83,3.58,0
 84-94,0,0,0,0.69,0,0,0,0,0,10.69,0,1.14,0,0,5.13,0
 96-106,1.63,0.6,0,1.63,0,0,0,0,0,4.75,0,3.3,0.61,0,1.83,0.65
108-118,0,0,0,0,0,0.87,0,0,0.42,0.56,0.53,0,0,0,4.17,0
120,0,0,0,0,1.66,0,0,0,0,2.09,0,0,0,0,0,0
