stage,eye,iridophores,mesenchyme,neural,olfactory,periderm,taste
  7-9,0,0,0,12.65,0,0,0
 10-12,0,0,0,9.86,0,0,0
 14-21,0,0,0,1.01,0,1.79,0
 24-34,0,0,0,4.18,2.4,0,0
 36-46,0,0,0,3.51,9.89,0,0
 48-58,0,0,1.48,0,27.61,0,0
 60-70,1.5,0,0.97,0,45.39,0,0
 72-82,0.9,0,0,1.1,118.53,0,0
 84-94,0,0,1.81,0,99.57,0,0
 96-106,0,0,0,13.47,137.15,0,0.8
108-118,0,0.65,0,0,112.47,0,0
120,0,0,5,3.25,155.41,0,0
