stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,68.58,1392.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.26,0,0,0,0,0,0,0,0,0
  5-6,109.8,1604.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.76,8.7,0,0,33.83,0,7.86,0,0,0,0,0,0,0,0,0
  7-9,27.1,31.68,0,47.65,0,0,0,89.08,0,0,0,0,56.1,0,0,0,0,0,0,0,0,0,0,0,1147.18,50.65,0,0,356.2,0,0,5.74,0,0,0,0,0,0,0,0
 10-12,0,0,0,43.19,0,0,0,83.79,0,0,0,0,0,0,0,0,0,0,10.63,0,0,0,0,0,1000.61,63.06,0,0,370.07,0,0,0,0,46.64,0,10.63,0,0,0,0
 14-21,0,0,0,0,12.21,2.8,0,5.98,0,0,2.39,0,0,0,0,0,0,0,0,0,11.69,0,0,5.65,110.87,0.89,1.02,0,5.13,0,8.69,0,30.76,0,10.06,6.25,26.54,0,0,0
 24-34,0,0,0,0,3.42,0,0,14.92,0,0,6.68,0,0,1.47,0,0,0,0,0,0,19.31,0,0,5.85,158.1,0,0.67,1.97,0,0,3.5,0,0,0.61,0,3.51,40.29,1.49,0,0.98
 36-46,0,0,0,0,2.34,0,0,36.7,0,1.56,2.68,0,0,0.9,0.84,1.59,1.88,0,0,0,16.42,0,1.42,1.74,136.41,0.71,1.41,5,0,0,8.36,0,0,0.6,0,0,36.05,11.28,0,0
 48-58,0,0,0,0,0.93,1.88,0,73.69,0.39,0,5.98,0,0,0.9,0,0.37,0.51,0,0,0,12.54,0,3.65,3.74,155.77,0.39,0.85,3.89,0,0,2.34,0,0,0,0,0,25.18,0.45,0,0
 60-70,0,0,0,0,2.66,0.63,0,48.62,0,0,15.35,2.05,0,0.58,0,0.56,0,0.79,0,0,21.83,0,0,1.76,127.67,0,0,7.86,0,0,3.85,0,0,0,0,0,11.68,0,0,6.89
 72-82,0,0,0,0,1.83,3.76,0,59.13,0,1.44,8.69,0,0,0,1.38,0.61,5.83,0,0,0,26.07,0,3.81,2.14,150.21,0,0,1.86,0,0,5.47,0,0,1.27,0,0,12.72,2.95,0.69,0
 84-94,0,0,0,0,5.59,2.45,0,41.16,0,0,8.35,0.66,0.91,0,1.58,1.33,0,1.61,0,0,36.26,0,0.98,1.18,135.01,0,0,0,0,0.79,12.46,0,0,0,0,0,15,2.11,0,0
 96-106,0,0,0,0,6.33,5.29,0,62.49,0,4.86,18.34,0,0,0,0.98,2.07,0,2.09,0,0,22.81,0.83,1.19,0,122.23,0,0,2.12,0,0.79,0.81,0,0,0,0,0,0,0.58,0.69,0
108-118,0,0,0.75,0,4.18,1.64,0.62,54.89,0,1.81,10.83,4.19,0,0,3.47,0.64,0.44,0,0.59,0.52,32.45,0,4.06,4.47,112.01,0,1.56,0,0,0,6.65,0,0,0,0,0,5.59,1.79,0.97,0
120,0,0,0,4.41,3.12,4.6,0,69.05,2.68,0,14.26,9.73,0,0,8.19,0,0,0,0,0,12.03,0,0,1.24,134.04,1.03,4.82,0,0,3.68,1.2,0,0,0,0,0,13.49,5.7,0,0
