stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,11.6,371.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224.87,0,0,0,0,0,0,0,0,0,0
  5-6,0,142.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367.31,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,7.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.6,0,0,0,0,0,63,5.11,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,15.37,0,0,0,0,0,0,0,0,0,16.45,0,0,0,0,0,0,0,0,0,0,150.81,0,0,0,15.24,0,17.58,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.93,131.36,1.8,0,0,0,0,0,0,0,6.94,0,0,3.62,0,0,0,0,0.86,0,0,12.43,0,1.71,0.97,0,0,60.15,0.91,0.84,0,0,2.74,10.09,0,0,0,0
 24-34,0,0,0,0,80.55,0.67,0,0.68,0,0,0,1.31,0,4.24,1.18,0,12.95,0,1.5,7.68,0.67,1.06,0.83,0,43.07,0,7.86,5.11,0,0,80.05,0,0,0,3.8,0,16.97,0,0,1.04,2.15
 36-46,0,0,0.94,0.56,42.1,0,0,0.88,0,3.27,0,9.08,0,3.46,0,0,3.07,0,1.58,0,0,5.06,3.16,0,36.15,0,11.5,2.53,0,0,131.98,0.68,0,7.61,0,0,13.96,0,0,0,0
 48-58,0,0,0,0,12.85,0,0,8.34,0,5.23,0,8.59,4.82,2.02,0,0,1.87,0,0.46,5.16,0,3.34,2.19,0.42,23.49,0,7.61,2.07,0,0,60.19,0,0,0.77,1.36,0,9.23,0,0,0,0
 60-70,0,0,0,0,47.02,0,0,24.85,0,16.54,0,12.22,6.27,0.9,0,0,2.41,0,5.13,1.98,0,0,5.65,0,26.89,0,7.6,3.21,0,0,51.84,0,0,1.79,0,0,2.62,0,0,0,9.48
 72-82,0,0,5.95,0,17.42,0,0,21.9,0,2.06,0.74,11.98,12.13,1.16,0,0,2.85,0,0.5,2.04,0,26.16,6.77,3.58,38.47,0,12.86,8.96,0,2.19,50.52,0,0,0.49,0,0,6.39,2.24,0,0.94,0
 84-94,0,0,5.39,0,41.8,0,0.59,53.64,2.98,6.34,0,8.69,13.34,3.67,0,0,6.37,0.68,5.1,0.63,0,10.22,18.04,0.84,20.86,0,15.56,6.32,0,0,135.1,0,0,4.86,0,0,3.67,5.84,0,0,0
 96-106,0,0,13.98,0,50.75,0,2.56,31.41,0.73,5.23,0,23.64,22.83,0,0,0.95,6.02,2.05,8.05,1.08,0,23.73,11.02,0,43.87,0.58,25.46,8.75,0,0,150.57,0,0,0,0,0,22.2,14.03,2.83,0,2.21
108-118,0,0,5.16,0,50.73,0,9.41,54.25,0,12.53,1.5,5.99,31.26,0,0,0.58,6.48,0,9.42,3.44,0,15.21,8.84,2.16,35.55,1.45,18.63,5.27,0,0,112.06,0,0,0,0.44,0,5.88,6.98,0.67,0.65,0
120,0,0,4.32,0,59.04,0,4.73,54.97,0,4.58,0,5.13,27.01,0,0,0,10.22,0,1.65,6.59,0,7.44,5.74,0,70.36,1.12,14.77,6.42,0,0,81.63,0,0,8.43,0,0,10.36,3.26,0,0,12.08
