stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,periderm,slow_muscle,somites,spinal_cord,taste,visceral_smooth_muscle
  3-4,19.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,10.85,0,0,0,0,0,0,0,0,0,0,0,0,0,6.62,0,0,0,0,0,0,0
 14-21,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,5.49,0,0,0,0.96,0.96,0,0
 24-34,0,0,0,0.93,0,0,0,0,0,0,0,1.76,0,0,16.95,0,0,0,0.72,4.21,0,0
 36-46,0,0,0,0.57,0,0,0.99,0,0,0,0,0.62,1.94,3.4,22.06,2.15,0,0,0,3.12,0,0
 48-58,0,0,0,2.92,0,0,1.64,0,0,0,0,1.51,0,0,29.09,2.66,0,0,0,8.04,0,0
 60-70,0,0,0,12.6,0,1.24,9.49,0,0.84,0,0,2.79,0,0,39.05,0,0,0,0,6.44,0,0
 72-82,0,0,0,20.19,1.29,0,2.49,4.83,0,0,0,3.87,0,3.65,54.23,0,0,0,0,0,0,0
 84-94,0,0,0,18.6,0,0,7.01,0,0,0,0,13.49,0,0,22.98,0,0,0,0,0,1.86,0
 96-106,0,0,0,8.52,0,0,1.93,0,0,0.79,0,16.83,0,3.42,21.04,1.03,1.66,0,0,0,0,0
108-118,0,0,0,15.85,0,0,0,0,0,1.02,0.43,3.99,0,0,20.93,0,0,0.41,0,0,0,0
120,0,5.52,1.77,0,0,0,0,0,0,0,0,0,0,0,36.62,0,0,0,0,0,0,1.99
