stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,41.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.15,0,0,0,0,0,0,0,0,0,0
  7-9,6.61,0,0,0,0,0,0,0,0,0,0,15.21,0,0,0,0,0,0,0,0,0,0,0,9.26,0,0,0,4.06,0,0,3.79,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.38,5.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.65,1.5,0,0,0,0,0,0.83,0.82,0,0,0,0,0,0,0,0,0,0,0,0,168.59,0,20.62,0,0,0,0,0,0,0,9.01,137.23,0,0,0,0,0
 24-34,0,0,1.88,0,0,14.99,0,0,0,1.06,0,0,0,0,0,0,0,0,0,6.22,0,0,1.53,1628.47,0.95,63.78,0.98,0,0,0.74,0,0,3.1,1.72,486.43,0,0,0.79,0,0
 36-46,0,0,10.65,0,0,174.43,2.03,0,1.14,2.53,0,0,1.5,0,0,0,0,0,0,7.89,0,0,5.5,3757.79,3.21,73.05,0,0,0,5.05,0,0,0,0,873.22,0,0,7.29,0,2.25
 48-58,0,0,22.93,0.55,0,522.24,0.74,2,1.59,45.44,0,0,0,1.47,0,6.4,0,1.49,7.27,20.71,0,11.3,13.35,4627,0,50.32,1.22,0,0,5.7,0,0,7.15,0,1060.45,0,0,8.27,0,5.89
 60-70,0,0,18.64,5.78,0,523.7,0,1.1,2.33,39.05,0.84,0,0,0,0,0,0,0,6.42,34.39,0,1.4,3.46,4461.22,0,31.62,1.23,0,0,7.17,0,0,0,0,832.59,0,0.61,7.14,0,0
 72-82,0,1.54,7.9,0,0,408.99,0,4.54,1.8,28.52,0,0,0,4.55,0.5,0,1,0,0,21.88,0,0,4.31,3089.44,0,52.36,0.5,0,1.4,0,0,0,0,0,458.27,2.98,0,11.59,0,3.38
 84-94,0,1.42,9.07,0,0,380.04,0,0.66,2.43,34.26,0,0,0,0,0.69,6.09,0,0,0,29.25,0.86,0.95,8.77,2241.12,0,31.43,0.84,0,7.18,2,0,0.96,0.69,0,298.1,0,2.27,6.89,0,0
 96-106,0,0.99,9.38,3.11,0,241.07,0,0.86,0.72,36.03,2.18,0,0,2.61,0,0.75,1.14,0,0.65,20.95,2.26,0,1.29,1604.04,0,38.67,2.45,0,0,6.51,0,0,0,0,161.14,3.27,0,4.23,1.25,0
108-118,0,0,11.27,4.33,8.54,227.41,0,0,1.27,33.35,0.43,0,0,0,0,1.81,0,0.7,0,39.28,3.95,1.32,3.26,1657.92,0,27.18,2.68,0,0,1.86,0,0,0,0,151.23,4.41,1.46,2.01,0,3.41
120,0,11.35,20.6,3.19,0,643.73,12.08,3.46,11.93,114.07,0,0,0,0,0,0,0,0,0,51.15,0,0,4.46,4086.06,0,78.6,0,0,0,3.27,0,2.39,0,0,370.01,0,0,0,0,0
