stage,liver,mesenchyme,neural,notochord,periderm
 24-34,0,0,3.4,0,0.7
 60-70,0,0,0,0,4.19
 72-82,0,0,4.65,0,0.58
 96-106,0,0,0,0.77,0
108-118,0.56,1.24,0,0,1.91
120,0,0,0,0,1.24
