stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,33.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.58,214.58,0,0,0,0,0,0,0,0,0,0,0,12.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.65,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.14,11.6,0,13.08,0,0,0,35.64,0,0,0,0,0,4.54,0,0,0,0,0,0,0,0,0,0,0,279.3,15.3,0,0,93.8,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,62.1,0,0,0,9.09,0,0,0,0,0,22.66,0,0,0,0,0,0,0,0,0,0,0,356.19,63.74,0,0,164.54,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.32,22.26,3.56,0,2.96,0,0,0,0,0.81,0,0.84,0,1.28,0,0,0.97,1.13,7.69,0,0,0.89,69.49,1.08,0,0.84,2.95,0,5.98,20.72,0,2.78,23.2,0,0,0,0,0
 24-34,0,0,0,1.2,16.32,0,0,16.92,0,0,0.83,2.64,0.66,0,0,0.65,3.52,0,0.77,0.65,1.46,20.79,0,0,12.46,200.72,1.63,0,6.78,0,0,24.85,0,2.94,2.7,46.15,0,0,1.36,0,3.33
 36-46,0,0,0,0.93,5.51,0,0,48.91,0,4.1,0.67,2.29,0,0,0.57,4.43,0,0,0,0.59,11.97,41.61,0,0,4.95,139.22,1.97,1.67,3.1,0,0,11.87,0,0.63,0,48.88,0,0,10.13,0,1.91
 48-58,0,0,0,0.63,8.17,0,0,49.85,0,0.78,2.82,13.91,0.89,0,1.3,1.55,0,0,0,0.37,4.08,46.79,1.47,2.63,6.45,119.99,1.1,0.94,0.89,0,0,13.5,0,1.22,0,22.92,0,0.37,0,0,10.61
 60-70,0,0,0,0,8.07,0,0,81.71,5.59,0.69,2.07,30.37,1.91,0,1.38,3.78,0.86,2,0.69,0,3.72,64.44,0,0.62,4.53,101.17,0,0.89,2.56,0,0,12.18,0,0.83,0,9.68,0,0,3.37,0.59,19.54
 72-82,0,0,0,0,9.27,1.37,0,45.19,6.88,3.32,4.75,22.98,0.64,2.59,2.17,1.92,0.7,0,0,1.43,0,45.89,1.49,3.95,3.51,90.61,0,2.95,0.84,0,1.03,15.9,0,0.76,0,5.41,0,0,0.54,1.4,8.66
 84-94,0,0,0,0,12.78,1.42,0,33.32,0,10.12,0,14.77,3.5,1.83,0,8.71,2.72,2.33,0,0,0,42.94,0,1.13,3.56,68.45,6.08,0,1.85,0,0,25.78,0,0.57,0,1.8,0,10.95,2.85,0,4.69
 96-106,0,0,0,0,15.57,1.4,1.69,26.57,0,1.48,0,7.61,5.03,0,2.63,5.05,0,3.53,1.01,4.62,0.68,29.19,2.07,0.93,6.57,54.19,0.77,1.84,3.67,0,0,16.82,0,0,0,6.93,2.19,0,0.64,0,2.2
108-118,0,0,0.6,0,15.97,0.54,5.81,28.65,0,1.75,2.87,10.79,5.35,0,2.49,6.25,3.7,2,0.84,2.7,1.8,34.43,2.75,0,4,42.07,4.82,1.67,4.36,0,0,38.96,0,0.48,0,0.48,1.33,0.8,3.56,0,4.74
120,0,0,0,0,31.43,0,1.06,32.94,0,19,3.73,17.8,19.68,0,0,7.79,5.78,0,1.77,11.85,0,44,1.49,0,7.02,33.8,7.63,2.79,4.64,0,0,35.06,0,0,0,0,1.19,0,15.68,0,10.22
