stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,immune,liver,melanocytes,mesenchyme,muscle,neural,pronephros,somites,spinal_cord,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,2.38,0,0,0,0
 24-34,0,0,0,27.21,0,0,0.79,0,0,0,0,6.79,0.62,0,0,0
 36-46,0,0,0,104.21,0,0,7.2,0,0,0.91,20.58,0,0,0,0,0
 48-58,0,0,0.69,213.7,0,0,0,0,0.96,0,5.9,0,0,1.66,0,0
 60-70,0,0,0,280.99,2.79,0,2.82,0,0,0,4.79,4,0,0,0,1.56
 72-82,0,0,0,207.92,0,0,0,0,0,0,0.5,0,0,0,0.62,0
 84-94,0,0,0,160.34,0,0.65,0,0,0,0,0,0.9,0,0,0,0
 96-106,0,0,0,95.19,0,0,0.73,0,1.07,0,0,0,0,0,0,0
108-118,0.74,0,0,270.56,0.58,0,0,0,1.32,0,4.77,0.54,0,0,0,0
120,0,2.04,0,415.37,0,0,0,1.54,0,0,10.59,0,0,0,4.28,0
