stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,hatching_gland,iridophores,lateral_line,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,42.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,9.1,0,0,0,0,0,5.39,0,0,0,0,9.91,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,4.87,3.16,0,0,0
 14-21,0,0,0.84,0,0,0,0.99,0,0,0,0,0,3.3,0,0,1.22,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.72,0,2.45,0,0,1.46,0
 36-46,0,0,0,0,1.52,0,0,0,0,0,0,0,7.15,0,0,2.82,0
 48-58,0,0,0,0,0,0,0,0,0,0,1.21,0,11.29,0,0,1.1,0
 60-70,0,0,0,0,0,0,1.87,0,0,0,0,0,5.15,0,0,2.05,0
 72-82,0,0,0,0,4.8,0.49,0,0,0,1,0,0.7,3.12,0,0,0,0
 84-94,0,0,0,3.62,6.65,0,0,0,0,0,1.3,0,0,0,2,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,2.29,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0,0.99
120,0,0,0,0,0,0,0,0,0,0,0,0,12.24,0,0,0,0
