stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,35.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,16.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,8.51,0,0,11.85,0,0,0,0,0,0,0,0
 10-12,11.17,0,0,0,0,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.13,0,0,0,13.58,0,0,0,0,0,0,0,0
 14-21,0,0,1.3,0.85,1.48,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,9.32,1.29,0,0,0,0.89,2.54,0.89,8.06,0,0,0,0
 24-34,0,0,0,2.45,1.27,1.33,0.63,0,2.77,0,0,0,1.21,0,0,0,2.35,0,0,1.72,30.56,0,1.39,0,0,1.33,0,0,5.23,0,0,0.69,1.9
 36-46,0,0,0,6.87,0,1.31,0,0,3.9,0,0,0,0,0,0,4.35,0.97,0,0,0,33.62,0,2.11,0.76,0,0,0,0,6.44,0,0,0.56,2.84
 48-58,0,0,0,1.85,0,2.43,0,0.39,6.42,0,0,0,0,0,0,0,4.9,0,0,0.38,40.58,0,2.88,0,0,0,0,0,16.64,0,0,0,7.19
 60-70,0,0,0,0,0,25.31,0,0,5.29,0,0,0,0,0,0,0,4.36,0,0,2.79,29.02,0,1.87,6.57,0,0,0,0,3.27,0,0,0,2.08
 72-82,0,0,0,1.15,0,13.02,0,0,5.78,0,0,0,0,0,0.82,0,7.57,0.88,1.33,0.55,46.31,0,6.86,1.21,0,0,0,0,18.23,0,0.68,0.61,5.31
 84-94,0,0,0,0.59,0,1.67,0,0,3.77,0,0,0.71,1.01,1.02,0.65,0,2.52,1.51,0,0,33.71,0,2.82,2.83,0,5.33,0,0,0,0.9,0,0,0
 96-106,0,0,0,0.8,2.32,25.05,0,0,6.19,0,2.28,0,1.69,0,2.63,0.68,9.93,0,1.72,0.7,23.76,0,11.19,3.96,0,1.49,0,0.62,0,0.87,0,10.32,0
108-118,0,0.55,0,3.09,1.59,9.42,0,0,3.84,1.41,0,0,0,0,2.22,0,3.77,1.87,0,0,51.27,0,14.26,1.9,0,6.47,0,0,7.14,0.52,0,0.44,0
120,0,0,0,7.19,0,3.48,1.03,0,0,0,0,3.54,0,0,0,0,11.76,0,0,0,95.15,0,14.68,9.44,0,3.8,0,0,14.56,2.31,0,1.69,0
