stage,blastomeres,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.59,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.54,0,0,0,0,0,0,0,0,0
 14-21,0,3.06,0.93,0,0,0,0,1.07,0,0,0,0,0,1.79,3.65,0,0,1.41,5.26,1.15,0,1.77,1.87,0,0,0,0
 24-34,0,0,2.15,0,0,0,0,0,0,0,0,3.34,0,0,19.98,0,0.68,0,0,0,0,0,4.72,0,0.85,0,0
 36-46,0,1.36,2.9,1.34,0,0.56,0,0,0,0,0,0,0,0,2.42,1.15,0,0,0,0,3.76,0,5.1,0,0,0,0
 48-58,0,1.87,0,0,0,4.93,1.02,0,7.04,0,0,0.51,0,0.38,27.5,0,0,0,0,0,0,0,0.86,0,0,0,0
 60-70,0,0,1.59,0,0,0,0,0.62,0,0,0,1.9,0,0,13.8,0,0,0,0,0,0.76,0,0,0,5.04,0,0
 72-82,0,0,6.91,0,0,0.59,1.78,0,0,0,0,5.04,0,0,14.04,0,0,0,0,0,0,0,0,0,0,0,8.32
 84-94,0,0,0,0,0,0,0,0,0,0,0,3.09,4.42,1.55,6.05,0,0,0,0,0,0,0,0,1.49,1.08,0,0
 96-106,0,0.71,1.74,0,0,0,1.5,1.1,0,0,0.62,5,0,0,4.85,0,0,0,0,0,0,0,0,0,0,1.85,0
108-118,0,0,8.7,0,0.57,0,2.65,1.14,0,1.58,0,1.43,0,0,9.54,0,0,0,0.64,0,0,0,0,0,0,0,0
120,0,2.14,3.3,0,0,0,0,0,0,0,0,28.83,6.16,0,36.17,0,0,0,2.6,0,0,0,0,0,0,0,0
