stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,gut,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,taste,vasculature
  3-4,13.67,48.39,0,0,0,0,0,0,0,0,0,19.1,0,0
  5-6,0,17.49,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,11.98,3.31,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.72,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.22,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7
 36-46,0,0,0,0,5.04,0,0,0,0,0,0,0,0,6.12
 48-58,0,0,0,0,12.27,0,0,0.41,0,0,0,0,0,0
 60-70,0,0,0.68,0,172.4,0,0,0.88,0,0.6,0,0,0,0
 72-82,0,0,0.52,0.6,291.75,8.72,1.26,0.71,0,6.54,0,0,0,1.47
 84-94,0,0,1.32,0,319.16,0,0,2.05,0,11.99,0,0,2.89,0
 96-106,0,0,0,0,264.78,0,0,0,0,5.98,0,0,0,0
108-118,0,0,0,0.56,189.24,0,0,0,0,9.28,0,0,0,0
120,0,0,0,0,230.92,0,0,0,0,4.86,0,0,0,0
