stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.67,235.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.04,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,145.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,18.47,3.67,0,9.77,0,0,17.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.1,31.77,0,0,50.84,0,4.34,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,33.94,0,31.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387.85,31.11,0,0,64.11,0,0,0,0,17.67,0,0,0,0,0,0,0,0
 14-21,0,0,1.11,0.88,192.81,40.17,8.91,0,8.02,0,0,5.23,11.55,0,0,0,1.11,0,0,67.69,0,0,36.73,98,19.23,8.75,20.08,1.98,0,0,0.91,3.79,3.91,4.15,14.06,54.35,0,0,20.02,0,0
 24-34,0,0,2.51,2.56,165.86,5.38,8.64,0,45.56,9.71,7.67,2.07,5.56,2.9,0,1.94,35.69,0.79,0,273.45,0.68,0,85.85,348.91,30.49,7.71,49.81,0,0,2.19,0,0,0,0,9.51,91.94,0,0,133.83,0,0
 36-46,0,0,0,0,146.35,0,24.05,0,69.52,18.54,3.64,2.11,10.05,2.77,0.77,0,12.08,0.71,0,443.98,0,1.42,83.12,243.02,32.61,5.21,29.53,0,0,8.53,0,0,2.78,0,0,69.66,0,1.67,95.92,0,11.21
 48-58,0.58,0,0,0,126.15,0,26.22,1.11,36.99,18.67,13.34,0,8.48,1.25,0.4,0,12.94,0.39,0,570.31,0,7.91,61.73,210.35,14.34,2.63,36.41,6.64,0.91,7.1,0,0,0.56,0,0,76.15,0,2.79,36.61,0,7.55
 60-70,0.81,0,0,0,159.55,10.43,7.75,0,63.22,40.32,9.64,1.21,4.6,4.86,0,7.6,18.86,1.06,0,893.81,2.83,14.06,45.4,178.08,12.93,0.89,26.9,0,16.54,7,0,0,0,0,0,20.69,1.22,3.8,43.64,8.58,4.3
 72-82,0,0,1.36,0.75,121.65,1.75,81.16,0,28.66,63.25,35.63,2.95,7.78,10.44,10.63,9.73,36.01,0,0,1079.48,0.56,26.94,66.56,134.85,7.17,4.48,32.61,0,35.42,0,0,0,0,0,0,42.05,1.37,16.44,55.37,23.73,1.1
 84-94,0,0,0,0,169.72,5.28,76.27,1.34,53.48,55.07,22.22,0.62,12.69,7.57,3.48,14.6,19.31,0,0.56,915.49,1.13,29.86,29.65,136.19,7.65,12.64,19.28,0,17.14,22.69,0,0,0,0,0,21.85,2.9,13.82,46.53,9.23,17.33
 96-106,0,0,6.65,0,137.83,0,49.79,0,39.58,32.2,44.36,6.88,7.38,9.85,17.34,12.2,30,0,3.66,845.92,0.82,24.41,28.57,144.55,16.74,10.53,27.3,0,18.1,11.25,0,0,3.26,0,0,30.03,3.57,16.96,66.17,30.95,17.76
108-118,0,0,0,0,186.44,5.67,49.89,1.99,77,42.55,38.89,3.59,5.6,9.12,10.08,17.75,25.1,5.39,4.84,731.58,0,48.42,29.33,133.21,17.26,3.85,39.29,0,41.26,7.2,0,0,0.67,1.12,0,11.36,3.66,14.69,29.41,15.69,19.36
120,0,0,11.35,0,227.26,0,39.62,0,52.61,54.05,75.28,22.36,23.97,46.26,4.05,15.4,12.42,4.86,1.51,978.17,0,33.42,27.8,103.72,39.15,11.1,50.36,0,41.21,1.8,0,0,0,2.07,0,12.87,3.65,26.49,82.45,31.07,10.89
