stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
 10-12,4.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5.12,0.82,2.06,0,0,0,1.22,0,0,0,4.71,0,0,20.37,2.16,0,0,0,5.16,1.72,0,2.99,9.67,0,0,0
 24-34,0,0,0,0,1.11,0,1.56,0,0,0,0,0,5.07,0,1.52,25.43,0,0,0,0,0,0,0,0,5.71,0,1.52,0
 36-46,0,0,0.84,0,6.44,0,2.13,0,0,0,0,0,4.03,0,1.11,17.33,0,0,0,0,0.56,0,0,0,0,0,0,0
 48-58,0,0,7.98,0,6.92,0,1.43,1.15,0,0,0.83,0,4.59,0,0.62,12.92,0,0.86,0.44,0,2.86,0,0,0,11,0,1,0.6
 60-70,0,0,0.63,0,14.87,0,7.55,0,0,0,0,0,8.65,0,1.46,11.9,0,0,0,0,4.81,0,0,0,5.21,3.21,0.75,0
 72-82,0,0,0.66,6.17,3.13,0,3.3,0,0,0,0,0,14.59,2.91,2.82,13.11,0,0,1.39,0,0,0,0,0,4.14,0,0,0
 84-94,0,0,1.43,6.08,4.46,0,1.68,0,0,0,0,0,2.74,0,0.71,10.15,0,0,0,0,4.1,0,1.84,0,0,0,2.51,0
 96-106,0,0,1.5,6.83,1.84,0,5.14,0,0,0,0,0,2.62,0,0,31.27,0,0,0,2.14,2.7,0,0,0,3.37,0,3.24,0
108-118,0,0.57,1.29,1.75,1.72,1.28,12.49,0,0,0.71,0,0,8.19,0,0,13.52,0,0,0,0,4.85,0,0,0,1.02,0,3.87,0
120,0,0,0,0,5.58,0,5.98,0,0,2.26,0,2.14,9.2,0,0,20.63,0,15.9,0,0,1.01,0,0,0,0,0,0,0
