stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,42.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.33,0,0,0,0,0,0,0,0,0,0
  5-6,0,47.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,13.73,4.72,0,1.08,0,0,0,0,0,467.49,0,0.96,0,0,0,0,52.14,0,0,10.09,22.73,0,0,47.81,0,2.66,23.72,0,3.51,1.09,4.89,0,0,12.88,0,0
 24-34,0,0,25.54,0,0,3.58,0,1.55,1.5,3.45,0,664.93,0,0,9.86,0,0,0,102.2,0,0,76.77,25.08,194.83,0,0,0,1.71,6.63,0,0,0,66.19,0,0,210.65,0,0
 36-46,0,0,46.97,0,0,2.64,1.17,0,39.66,13.52,0,306.91,0,0,159.88,0,0,0,116.5,0,2.17,45.22,30.37,106.07,0,16.41,0,0.66,55.1,0,0,0,61.19,0,12.72,117.22,6.98,0
 48-58,5.75,0,24.63,0,0,7.86,21.14,8.8,71.88,11.42,0,90.73,0,0,222.8,0,1.61,0.51,192.94,0,5.8,50.62,30.53,34.93,0,0,0,5.6,0,0,0,0,7.45,0,18.11,43.21,4.69,0
 60-70,0,0,10.68,0,0,25.14,346.65,6.33,87.38,11.26,0,69.58,0,0,311.76,0,5.95,1.66,522.24,0.57,91.06,43.17,43.12,14.1,0,0,9.01,22.91,0,0.73,0,0,3.08,0,119.11,53.97,90.13,2.89
 72-82,0,0,5.27,5.13,0,151.39,931.42,2.27,119.43,15.15,1.25,21.78,0,0,256.06,3.44,1.4,0.62,754.42,0.51,126.15,115.17,108.66,1.93,4.18,0,25.84,2.16,0,0,0.54,0,5.81,0,210.42,53.23,297.75,7.06
 84-94,0,0,15.12,0.71,0,111.5,1379.07,2.69,122.79,1.14,0,36.76,0.56,0,579.16,0,0,0,588.21,2.96,108.9,167.3,97.91,6.12,7.85,0,11.56,6.2,0,0,0,0,14.86,0,226.9,66.07,383.77,7.25
 96-106,0,0,11.42,11.26,0.59,89.65,1337.53,19.14,111.52,38.16,4.04,14.13,0.89,0,356.7,0.66,39.44,3.65,859.71,1.61,135.53,143.52,155.1,0.85,0.68,0,90.18,18.1,0,2.78,0,0,8.43,1.64,275.1,47.8,430.23,0.6
108-118,0,0,14.87,0,0.79,71.59,1324.81,1.24,136.42,10.92,0.48,42.13,1.09,0,754.7,0,3.57,12.53,926.87,0.77,75.4,209.46,98.97,4.88,0.68,0,77.22,1.34,0,1.91,0,0,2.97,0,229.1,52.22,338.15,0
120,0,0,7.97,0,5.36,40.46,1449.94,0,110.17,5.69,5.36,9.49,0,0,481.82,2.64,0,4.61,562.06,0,93.01,133.39,180.52,0,0,19.84,120.99,21.74,0,0,0,0,0,0,231.71,26.75,403.74,0
