stage,blastomeres,epidermis,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,periderm,slow_muscle,spinal_cord,taste,visceral_smooth_muscle
  5-6,21.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,0,0,0,0,0
 14-21,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0,0,0,80.18,0,0,0,0
 24-34,0,0,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,130.87,0,2.2,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19,3.23,0,0,23.18,0,0,176.56,2.28,1.51,0,0
 48-58,0,0,0,4.74,2.11,0,0,0,0,0,0,0,0,4.98,0,0,0,9.48,0,0,125.03,0,0.42,0,0
 60-70,0,8.11,0,5.66,3.44,0,0,0,0,0,0,0,0,0.84,0,0,0,6.9,0,0,138.42,0,2.29,0,0
 72-82,0,11.43,0,7.75,1.26,0,0.56,0,0,0,0,0,0,0,0.56,1.19,0,26.91,0,0,100.86,0,0,0,0
 84-94,0,10.07,0,18.65,5.47,0,0.56,0.64,0.6,0,0,0,0,0.58,1.69,0,0,14.21,1.53,0,323.61,0,0,0,0
 96-106,0,48.03,0,2.15,3.87,3.79,4.02,0,1.97,0.77,0.63,0.99,0.6,0,1.94,0,0,22.05,0,0.93,379.58,0,1.96,0.87,0.69
108-118,0,58.73,0.53,1.57,4.72,0,5.72,0,2.14,0,0,0,0,0.8,1.99,0,0,9.42,0,0,224.98,0,2.99,1.83,1.57
120,0,67.84,0,0,10.83,2.14,0,0,0,0,0,0,0,8.09,4.4,0,0,10.99,0,0,196.5,0,0,1.28,0
