stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  5-6,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.27,0,0,9.11,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.17,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0,2.8,0,0,0,0,0,1.06,0,0.84,73.08,0,0,0,0
 24-34,0,0.59,0,0,72.26,0,0,0,0,0,1.85,0,0,0,0,0,0,0,0,0,1.36,107.55,0,0,0,0,1.65,0,0,0,416.1,0,0,1.12,0.89
 36-46,0,0,0.75,0,308.05,0,0,0,25.36,0,0,0,0,0,0,0,0,0,0,0,1.78,187.77,1.33,0,0,0,1.11,0,0,0,545.92,0,0,0,0
 48-58,0,0,0,0.83,712.81,0,0,0.57,43.54,0,1.28,0,0,0.54,0,0,1.33,1.42,0,0,2.16,180.66,0,0,0,0,2.45,0,0.7,0,246.03,0,0,0,1.04
 60-70,0,0,0,0.74,1436.87,1.41,0,0,34.12,0,0,3.36,0,9.05,0,0,0,4.13,0,0,0,345.13,0,0,0,0,2.9,0,0,0,56.66,0,0,0,4.81
 72-82,0,0,0,0.52,924.06,0,0,0,22.01,0,0,0,0,11.73,0,0,0,19.59,4.5,1.13,0,99,0,0,0,0,2.86,0,0,0,14.22,0,0,0,0
 84-94,0,0,5.82,6.7,2346.63,10.1,1.41,5.54,3.02,2.41,0,0,1.65,15.38,0,4.97,0,10.24,4.13,0,0,129.1,0,0,0,0,5.94,0,5.89,0,17.39,2.5,0,0,2.45
 96-106,0,0,0.78,0,2278.12,0,0.59,0,8.94,0,0.71,0,0.73,14.23,3.82,2.51,0,9.1,0,0,1.24,101.49,0.93,1.51,0,4.54,8.13,0,0,0,1.12,0.66,0,0,0
108-118,0,0,2.97,7.79,2479.15,0,0,0.86,15.99,1.04,0,0,0,30.19,0,0.63,0,2.78,0,0,4.86,120.87,0,0,0,0,0.45,0,0,0,4.19,0,0,0,0
120,0,0,0,5.94,1026.78,0,0,0,9.09,0,0,1.08,0,13.64,0,0,0,18.61,0,0,0,152.9,11.55,0,0,0,0,0,0,0,0,0,1.95,0,0
