stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,55.3,504.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.81,386.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.52,0,0,0,22.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.17,6.67,0,0,71.89,0,6.94,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,11.01,4.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.92,0,0,0,118.54,5.21,0,0,7.47,0,0,0,0,0,0,0,0
 14-21,0,0,0,71.29,3.5,1.21,0,0,0,0.88,1.07,0,44.92,0.82,0,0,0.96,0,0,5.31,24.47,0,0,0,26.1,28.8,0,12.4,0,0,0.94,11.45,0,0,1.49,0,0
 24-34,0,0,0,3.8,2.04,2.27,0,0,0,0.9,0,0,272.42,0.7,0,0,3.54,0.7,0,1.16,29.86,0,2.22,0,0,17.69,0,0,0,0,0.65,9.56,0,0,1.51,0,0
 36-46,0,0,0,1.16,0,17.06,0,5.89,0,0.99,0,1.71,1016.15,1.01,0,0,3.34,0,0,1.49,48.33,0,1.94,0,0,15.56,0,0,0,0.57,0,16.21,0,0,2.52,0,0
 48-58,0,0,0,0.39,1.81,10.46,0,1.11,2.43,5.27,0,0,849.61,0,0,0,4.78,1.37,0,0,38.18,0,0,0.97,0,9.91,0,0,0,0,0,5.89,0,0,0,0,1.57
 60-70,0,0,0,0.67,0,36.53,3.43,7.01,1.72,3.89,0.95,0,1453.14,0,0,9.64,8.63,0,0,0.98,37.91,0,0.84,0,0,8.96,0,0,0,0,0,2.95,0,0,9.04,0,0
 72-82,0,0,0,1.72,0,7.6,0,0,0.51,1.54,17.96,1.42,850.69,0,1.05,0,6,0,0,3.63,23.71,0,1.21,0,0,4.53,0,0,0,0,0,1.96,0,0,1.97,0,9.31
 84-94,0,0,0.8,1.14,8.23,13.94,0,1.24,0,0,9.16,0,1438.99,0,0,0,5.94,0,0,0,12.86,0,0.95,0.92,0,1.5,0,0,0,0,0,0.75,1.54,1.03,0,1.09,0.69
 96-106,0,0,1.41,5.29,0,33.04,0.87,1.8,1.83,6.88,26.65,0,1730.37,0,4.66,0,5.45,1.52,0,0,30.37,0,0.59,0,0,12.78,0,0,0,0,0,0,2.03,0,2.14,1.84,0
108-118,0,0,0,14.5,3.95,29.32,0,2.16,0,0.94,23.04,0.83,1561.84,0.63,0,5.09,21.08,0,3.51,0.48,43.37,0,1.82,0,0,20.24,0,0,0,0,0,0.95,0.76,0,9.12,0,0.49
120,0,0,0,0,5.68,0,0,2.08,0,0,26.2,0,1491.59,0,5.28,0,15,0,2.33,18.25,98.42,3.12,3.03,4.19,0,3.51,0,0,0,0,0,0,0,0,19.7,0,0
