stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.66,0,0,0,0,0,0,0,0,0
  5-6,22.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.1,0,0,0,0,0,0,0,0,0
  7-9,6.23,0,0,0,0,0,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.52,0,0,0,12.43,0,17.98,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220.27,11.07,0,0,15.4,0,23.72,0,10.19,0,0,0,0,0,0,0
 14-21,0,0,1.89,105.91,0,0,1.01,2.39,0,0,1.09,0,0,0,4.67,0,0,0,1.75,0,3.08,3.39,0,0,0,0,0,16.51,1.37,0,0,0.82,0.86,0,0,0,0
 24-34,0,0,1.21,29.12,0,0,4.13,0,0,0,2.84,0,0,0,22.21,0,0,0.74,5.18,4.33,1.48,154.83,0,3.19,0,0,0,25.67,0,1.3,0,0,2.68,0,0.62,0,0
 36-46,0,0,0,28.79,0,0,0,0,0,0,1.3,0,0.84,0,12.09,0,0.71,1.29,10.91,1.23,0,688.87,0,6.29,0.75,0,2.85,33.63,0,13.14,0,0,0.92,0,0,0,0
 48-58,0,0,0,14.61,0,0,0,0,1.46,0,3.28,1.45,0,0,39.54,0,0,0.66,11.35,9.26,2.54,324.06,0,9.76,2.65,0,0,19.53,0,0,0.4,0,0.88,0,0,0,3.23
 60-70,0,0,0,25.41,0,0,0,2.27,0,0,0.58,0,0,0,4.75,0,0,0,21.64,6.7,0,258.77,1.76,3.83,3.97,0,0,10.52,0,0,0,0,13.73,1.62,0,0,0
 72-82,0,0.87,0,12.95,0,0,1.08,0.5,0,2.33,1.5,0,0,1.04,9.83,0.83,0.71,0,31.56,4.06,0.78,231.65,0,2.01,5.22,0,0,4.73,0,0,0,0,0,7,0,0.61,0
 84-94,0,1.15,0,21.66,0,0,4.33,1.24,0,1.77,6.96,2.81,0,0,20,0,3.38,0,27.8,6.69,0,239.32,3.42,1.49,0,0,0,12.57,0,0,0,0,4.3,10.63,0.94,0,0
 96-106,0,2.08,0,29.21,1.2,0.97,12.6,3.33,0,0,6.54,0,0.79,1.3,18.56,0,9.51,3.07,14.91,12.13,1.39,78.19,0,5.51,4.45,0,0,31.71,0,0,0,0,0,13.98,0.67,1.03,0
108-118,0,0.89,0,54.86,0.46,0,4.52,5.88,0.64,2.49,9.97,2.74,0,1.21,43.96,0,5.05,0,16.97,8.56,0,95.52,0,7.22,2.84,0,0,16.91,0,0,0,0,0,43.89,0.62,0,0
120,0,0,0,73.69,0,0,0,0,1.98,0,10.72,0,0,1.51,12.13,0,0,0,34.73,2.8,0,70.08,0,5.31,0,0,0,31.33,0,1.13,0,0,4.36,44.04,0,0,0
