stage,epidermis,gut,ionocyte,mesenchyme,neural,taste
 24-34,0,0,0,0,0.62,0
 84-94,1.88,0,15.57,2.63,0,0
 96-106,0,0,5.32,4.7,1.44,3.7
108-118,3.53,0.87,0,0.56,0,0
120,0,0,0,1.43,0,0
