stage,epidermis,eye,fin_epithelia,glial,mesenchyme,muscle,neural,olfactory,otic,presomitic_mesoderm,pronephros,somites,spinal_cord
  7-9,0,0,0,0,0,0,7.04,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,19.76,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0.82,1,0.8,2.44
 24-34,0,1.22,0,0,0.67,0,4.27,1.21,0,0,0,0,2.4
 36-46,1.44,0.69,0,1.12,0.59,1.9,6.5,0,0,0,0,0,1.58
 48-58,0,2.38,0,0,1.05,0,2.45,0.87,0,0,0,0,0.44
 60-70,0.95,4.44,1.57,0.93,0,0,2.09,0,1.16,0,0,0,1.04
 72-82,0,3.49,0,0,1.01,0,0,0,0,0,0,0,0
 84-94,0,2.49,0,0,0,0,0,0.9,0,0,0,0,0
 96-106,0,0,0,1.66,0,0,0,2.72,0,0,0,0,0
120,0,0,0,0,0,0,3.78,0,0,0,0,0,0
