stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,9.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.01,0,0,0,159.69,0,0,0,0,0,222.74,0,0,0,0,0
 14-21,0,0,15.56,2.52,2.22,0,0,0,1.72,1.05,0,1.54,0,0,0,0,15.04,0,148.87,101.15,8.17,0,0,4.63,0,10.97,701.21,1.65,802.74,25538.49,26.29,0,0,0,0
 24-34,0,0,4.3,0,8.75,10.04,0,0.99,0,0,0,0,0,0,1.2,3.28,9.67,0,145.22,124.04,1.32,0,0,1.99,0,13.14,22.09,0,148.56,6055.96,25.66,0,4.31,0,1.93
 36-46,0,0,0,0,5.79,36.59,0,0,1.87,0,4.03,0,0,0,0,1.49,10.38,0,361.5,52.06,1.37,0,0,0,0,0,23.79,0,69.51,99.07,9.48,0,0,0,0
 48-58,0,0,2.02,0.38,31.86,83.47,1.25,0.91,3.27,0,0.52,0.51,0.4,0,0,0,10.39,0,1179.22,125.7,0,0,0,11.41,0,8.29,2.72,0,48.98,6.64,14.01,0,0,0,1.64
 60-70,0,0,10.85,0,17.05,194,0,0,5.45,0,0,0,0,0,0,0,14.39,0,944.08,93.05,0,0,0,0,1.19,8.65,2.75,0,57.76,0,3.62,0,0.87,0,1.74
 72-82,0,3.99,3.93,0.5,58.7,120.78,0,0.71,13.03,0,0,0,0,0,0,0,27.82,1.39,923.23,73.08,0,0,0,3.38,0,6.47,0,0,8.69,0,0,1.87,1.21,0.51,0
 84-94,0,0,17.14,0,76.62,139.26,0,0,5.77,0,0,0,4.5,0,4.81,0,8.41,1,815.3,122.1,0,2.47,0.72,0,0,6.9,0,0,19.19,0,14.87,5.45,2.29,0,0
 96-106,0,0,13.25,3.28,98.28,171.1,4.29,3.47,21.16,0.92,0.85,3.76,0,1.34,1.01,0,61.79,10.2,1131.48,72.66,4.07,2.19,1.28,0,0.99,11.88,0,0,9.97,0,15.39,0.67,2.73,0,0
108-118,0,0,3.68,0.66,25.65,79.89,0,3.92,14.45,0.46,6.76,0,1.02,0.45,2.07,0,23.07,1.5,1469.03,92.44,0,0,0,0,0,10.25,0,0,10.52,0,0,0,3.54,1.42,0
120,0,0,2.54,36.18,18.52,148.15,0,0,0,10.96,0,0,0,0,7.75,0,47.45,0,1331.11,94.63,1.12,0,0,0,0,0,2.24,0,1.99,0,0,0,0,0,0
