stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,33.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.43,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.43,0,0,0,0,14.69,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.96,0,0,0,0,0,0,0,0,2.86,0,0,0,0,0,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0.89,0,0
 24-34,0,0,0,0,0.68,0,0,35.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.12,0,0,0,0,0,0,0,0,10.44,0,0,0,0,0
 36-46,0,0,0,0,1.85,0,0,328.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,0,0,0,13.63,0,0,0,0,0,0,0,0,103.96,0,0,0,0,0
 48-58,0,0,0,0,7.57,0,0,291.02,0,1.58,0,0,0,0,0,0,0,4,0,0,0,1.86,0,0,0,50.07,0,0,0,0,5.16,0,0,0,114.18,0,0,1.23,0,0
 60-70,0,0,0,0,13.65,0,0,4296.12,0,0.8,0,4.36,5.53,0,0,0,0,0,0,0,0,4.61,2.18,0,0,36.62,0,0,0,0,2.26,0,0,0,9.98,0,0,0,0,0
 72-82,0,0,0,0,45.78,14.88,3.14,14712.41,1.11,1.34,13.75,51.15,3.71,0,0,0.49,0.53,9.62,1.39,3.56,2.32,72.36,1.31,4.86,13.96,275.69,0,2.85,2.7,0,14.99,1.65,0,2.04,32.89,1.89,0,6.18,1.08,19.12
 84-94,0,0,0,0,66.05,11.14,0,14464.91,3.37,0,1.74,35.35,1.03,0,0.78,4.91,0,1.87,0,3.31,0,34.11,0,3.04,3.37,127.98,1.87,0,9.73,0,13.34,0,0,0,8.75,0,0,2.85,0,5.35
 96-106,0,0,0,0,92.7,50.15,1.46,25045.05,3.06,2.78,0,51.94,4.32,0,1.03,7.07,2.34,12.89,6.47,5.37,0,89.04,3.21,2.08,14.93,451.44,5.56,10.57,4.41,4.28,61.41,0,1.06,11.53,10.62,6.56,0.58,5.77,3.16,3.9
108-118,11.86,0,2.51,0,36.22,27.93,3.75,26752.39,0.44,6.46,4.79,72.01,4.57,0,4.41,7.27,3.25,4.35,9.28,15.9,9.48,192.03,1,8.68,8.25,643.64,6.21,12.55,8.99,1.05,38.97,0,4.19,0,15.64,2.26,5.11,5.43,1.54,11.73
120,0,0,2.96,1.28,158.59,39,0,46815.26,24.11,15.18,0,114.38,17.8,0,0,16,20.45,0,2.53,15.56,0,357.31,3.43,28.84,14.42,1158.95,7.55,26.08,10.2,0,62.49,0,0,0,21.61,0,0,9.76,2.66,0
