stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,24.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.83,0,9.7,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.29,0,0,0,10.04,0,7.16,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,4.15,0,0,0,0,0,0,0,0,0,0,0,11.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.71,0,0,0,0,0,0,0,2.13,3.09,0,0,0,0,0
 24-34,0,10.34,0,0,0.99,0,0,5.31,0,0,0,0,0,0,0,0,0,0,5.01,0,0,5.57,8.7,0,0,0,0,0,0,0,0,0.89,0,0,0,0,0
 36-46,0,148.47,0,0,3.55,0,5.24,249.88,0,0,0,0,1.03,0,0,0,0,0,22.52,0,0,1.98,6.45,0,1.46,0,0,0,0,0,0,4.61,0,0,0,0,0
 48-58,0,551.54,0,0,10.93,0,17.7,742.15,1.78,0,0,0,0,0,0,0,0,0,22.54,4.7,0,1.21,33.24,0,1.08,0,0,0,0,0,0,5.68,0,0,0,0,0
 60-70,0,1354,0,0,37.8,0,38.08,774.3,3.15,0,0,0,0,2.04,0,0,0,0,75.35,8.49,1.34,0,32.64,0,0,0,0,0,2.11,0,0,3.13,0,10.69,0,0,0
 72-82,0,1728.85,7.68,0,123.94,0,37.34,1537.2,11.27,4.29,0,0,0,3.76,0,0,4.08,0,225.05,7.89,13.01,8.87,99.79,0,2.41,6.47,0,0,1.15,0,0,7.55,0,1.5,7.72,0,0
 84-94,0,4000.46,0,0,53.01,0,108.2,736.8,2.66,0,0,0,1.04,38.63,6.17,0,0,0.72,406.77,35.3,3.19,2.23,35.91,5.95,0,0,0,0,3.38,2.85,0,9.77,0,11.77,0,2.02,7.08
 96-106,0,4664.97,29.6,0.62,81.9,0.67,140.56,745.66,25.71,2.85,0,0,8.02,10.89,2.16,0.65,29.87,0.63,872.16,56.32,3.42,1.41,161.99,0.68,2.49,0,0,0,18.65,0,0,4.72,0.61,33.51,14.82,3.53,0
108-118,0,4217.77,0,0.94,59.64,0,147.15,548.87,20.07,1.37,0,0,1.42,29.05,1.81,1.38,1.66,0,937.6,23.11,0,6.44,86.84,0,3.02,0.51,0,2.38,10.11,1.7,0,1.65,0.47,127.23,1.58,2.21,5.99
120,0,2568.28,15.72,2.02,61.84,0,76.45,607.88,5.6,3.03,0,1.85,1.47,4.45,1.01,0,13.18,0,1116.82,28.08,10.53,1.36,119.06,0,0,0,0,0,3.62,0,0,8.59,0,66.78,0,10.03,0
