stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.92,307.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.09,0,0,0,0,0,0,0,0,0
  5-6,7.81,226.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,10.2,0,0,0,0,0,0,0,0,0,0,0,13.52,0,0,0,16.33,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.69,4.65,84.25,2.08,1.93,0,0,0,3.6,6.01,0,0,0,0,0,0,0,0,7.14,0,0,2.49,98.31,0.99,5.23,0,0,0,6.27,1.7,0,0,52.94,0,0,2.56,0,0
 24-34,0,0,0,2,99.73,0.94,17.71,0.91,3.03,0,9.14,2.22,0,0,0,0.72,0.62,29.5,2.41,8.63,53.68,0,0,16.75,704.89,2.84,6.68,0.77,0,0,0.72,0,0,0,177.36,0,0,64.1,0,2.15
 36-46,0,0,0,0,21.85,0,130,0,0,1.03,15.33,3.72,0,7.36,0,0,3.68,50.47,0.66,20.39,66.03,0,3.42,5.41,2296.56,0,13.56,0.58,0,0,13.4,0,0,0,390.2,0,0,77.67,0,6.2
 48-58,0,0,0,0,32.76,0,773.11,0.57,5.19,0.85,41.03,0,0,0.89,0,0,0.94,41.96,0,29.16,48.02,0,6.9,13.87,4457.41,0.5,4.45,8,0,0,0.48,0,0,0.44,617.08,0,0,47.53,0,20.57
 60-70,0,0,0,0,15.05,0,2885.91,0.65,8.04,0,87.63,5.73,0,1.55,0.98,0,12.03,30.9,1.18,27.77,120.51,0,2.46,1.7,5613.12,0,2.6,4.31,0,0,13.79,0,0,0,701.18,0,0.9,71.68,0.64,1.18
 72-82,0,0,0.5,0.56,23.15,2.81,4226.31,1.25,3.55,7.15,174.28,0,0,0,8.36,0.9,19.12,43.54,1.57,3.24,92,0.74,5.23,7.83,4417.7,0,10.51,12.87,0,0,4.14,0,0.87,0,338.4,1.87,2.73,95.78,2.51,0
 84-94,0,0,2.31,0,49.12,2.66,2592.95,3.89,3.93,2.29,178.86,0,0,4.08,2.35,0,25.06,36.92,2.76,38.56,100.97,16.09,14.62,6.24,2805.13,0,0.7,10.86,0,0,13.77,0,0,0,244.42,0,5.21,132.36,1.15,16.26
 96-106,0,0,0,0,47.27,1.48,2292.92,0,5.53,1.01,159.67,0,0,0,1.84,1.23,16.63,32.61,2.15,12.75,61.9,0,2.96,8.14,2080.81,1.29,5.19,7.86,0,0,9.66,0,0.71,1.27,122.07,0.61,3.46,141.81,0,3.44
108-118,0,0,0.94,0.59,52.96,6.44,1731.41,1.37,4.87,3.33,164.81,1.21,0,0,1.73,0,50.33,29.01,9.05,33.92,59.43,0.43,5.58,0.68,2355.38,0,9.22,7.36,0,13.91,1.33,0,1.27,0,62.99,0,0.56,145.13,1.11,11.7
120,0,0,0,0,50.04,0,1332.56,0,4.68,6.64,206.01,0,0,0,1.01,1.65,21.88,10.1,12.94,13.2,78.25,1.49,39.91,3.87,2346.72,0,0,10.13,0,4.48,6.72,0,1.21,1.99,124.43,0,0,153.06,0,0
