stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,heart,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,xanthophores
  5-6,15.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.15,0,0,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,0,0
 10-12,0,0,0,0,19.82,0,0,8.56,0,0,0,0,0,0,0,255.06,0,0,0,6.69,0,0,0,0
 14-21,0,0,20.82,0.83,6.95,0,0,0,0,0,0,0,0.88,0,0,246.45,0,0,0,0,0,0.92,29.7,0
 24-34,0,0,2.24,0,4.53,0,0.65,0,0,0,0.77,0.76,0,0,0.72,428.3,1.19,3.07,0,0,0,0,31.02,0
 36-46,0,0,0,0,0,1.14,19.99,0,0.72,8.56,0,0,0.74,0,0,321.09,0,2.5,0,0,0,0,8.7,0
 48-58,0,0,0,0,3.59,0,22.78,0,0,0,0.86,0,0.45,0,0.61,406.76,0,0.38,0.41,0,0,0,21.43,1.92
 60-70,0,0,0,0,0.87,0,22.36,0,0.84,0,0,0,0.62,0,0,436.84,0,4.62,0,0,0,0,21.58,0
 72-82,0,0,1.1,1.16,14.76,0,22.71,0,0,0,0.62,0,6.75,0,1.3,385.03,0,1.78,0,0,0,0,11.32,0
 84-94,0,0,1.49,0,24.05,0,23.02,0,0,0,0,0,3.87,3.37,0,319.57,0,0,0,0,0,0,7.75,0
 96-106,0,0,0,0,8.48,1.02,21.69,0,0,0,0,0,0.74,0,0,191.13,0,3.19,0,0,1.56,0,5.77,5.81
108-118,0,0,0.94,0,10.4,0,18.79,0,0,0,0,0,1.09,0,0.7,271.28,0,1.71,0,0,0,0,1.72,0
120,0,0,1.89,0,46.27,0,14.57,0,0,0,0,0,0,0,0,154.38,0,10.61,0,0,0,0,21.21,0
