stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,immune,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,16.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.21,0,0,0,4.04,0,0,0,0,0,0,0,0,0,0,8.63,0,0,0,3.76,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.13,18.66,0,0,0,0,0,0,0,0,0,0,51.96,0,0,0,13.39,0,0,0,0,0,0,0,0
 14-21,0,0,0.97,0,1.67,0,1.01,0.97,0,0,0,1.29,2.9,0,0,57.55,1.29,0,0,0,0,0.84,0,39.12,0,1.76,0,0
 24-34,0,0,2.73,0,13.57,0,2.28,0,0,0,0,2.98,1.68,0,0.6,291.04,0,0,0.69,0,0,0,0,48.17,0,22.2,0,18.39
 36-46,0,0,0,0,34.22,0,4.96,0,0.73,2.29,0,0,8.26,0,0.71,385.29,0,0,0,0,1.35,0,0,78.67,0,12.12,0,1.88
 48-58,0,0,0,0,142.58,3.06,19.16,0,0,0.77,0,1.35,6.34,0,0.85,343.57,0.57,0,0,0,2.74,0,0,72.6,0,2.94,0,7.43
 60-70,0,0,0,0,199.14,0.72,1.95,0,0,6.65,0,0,20.24,0.65,0,359.55,0,0,0,0,0,0,0,63.02,0,14.76,0,2.28
 72-82,0,0,4.1,0,164.45,0,2.89,0,0,0,0,0.87,9.82,0,0,177.45,0,0,0,0,0.75,0,0,33.84,0,6.14,0.91,0
 84-94,0,0.8,2.59,0,144.84,0.96,0,0,6.25,6.17,0.6,10.41,8.72,0,0,216.9,0,0.93,0.72,0,4.47,0,2.98,23.52,0,5.22,0.96,0.64
 96-106,0,0,0,0.8,69.12,1.45,6.18,1.18,0.59,2.95,0,3.66,2.38,0,0,115.48,0,0.71,1.36,0,0,0,0,2.71,0,9.73,0,5.13
108-118,0,0,0,0.46,86.1,0,4.13,0,1.13,1.08,1.35,2.93,17.36,0,0,151.47,4.91,1.4,0,0,0,0,1.76,12.86,4.73,10.41,0.49,10.32
120,0,0,0,0,46.58,0,3.97,0,2.43,0,0,0,0,0,0,155.54,0,0,0,0,0,0,0,3.29,0,1.26,0,12.45
