stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,immune,iridophores,liver,mesenchyme,muscle,neural,notochord,periderm,spinal_cord,vasculature,visceral_smooth_muscle
 14-21,0,1.39,0,0,0,0,0,0,0,0,0,0,0,27.06,0,0
 24-34,0,0,0,0,0,0,0,0,0,2.75,1.6,0,0,6.47,0.76,0
 36-46,0,0,1.15,0,0,0,0,0,0,0,18.1,0,0,10.78,0,0
 48-58,0,0,12.84,0,8.89,0,0,0,0,0,25.09,0,0,16.32,0,0
 60-70,0,0,50.04,0,9.25,0,0,0,0,0,29.46,0,0,18.48,0,0
 72-82,2.86,0,97.07,0,15.91,0,0,0,3.31,0,87.25,0,0,13.32,0,0.96
 84-94,0,0,88.1,0,21.06,0,1.29,0,2.68,0,96.57,0,0,28.46,0,0
 96-106,0,1.37,96.38,0,6.54,0,0,0,3.52,0,67.41,0,0,30.83,0,0.91
108-118,2.41,1.32,157.81,1.3,10.03,0.55,0,3.99,4.23,0,83.43,0.52,5.29,4.78,0,0
120,0,0,104.85,0,9.32,0,0,0,0,0,273.6,0,1.59,5.59,12.09,0
