stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,taste,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.75,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.71,0,0,22.89,4.52,0,0,0,0,0
 14-21,0,4.42,0.82,0,0,0,0,0,0,4.74,0,0,0,0,0,0,0,0,21.17,0,0,0,0,0
 24-34,0,16.65,0,2.32,0,0,0,0,0,28.98,1.28,0,3.02,0.6,22.37,0,7.14,0,243.82,0,1.42,0,0,0
 36-46,0,27.88,0,0.66,2.61,0,0,0,2.19,12.45,4.05,0.62,4.06,0,39.54,1.32,9.36,0,720.28,0,6.02,0,0,0
 48-58,0,36.71,0.41,10.05,6.95,0,1.88,0,3.07,4.38,0,6.96,12.89,0,39.72,1.4,5.21,0,886.79,2.15,13.47,0,3.1,0.67
 60-70,0,45.62,0,10.67,4.15,0,3.78,0,0.89,2.56,1.79,2.28,3.11,6.02,33.83,0,7.07,0,725.4,0.77,1.92,0,1.37,8.2
 72-82,0,25.96,0,10.03,2.31,0,5.22,0,0,10.41,3.25,4.66,22.06,1.36,30.46,0,8.07,0,276.42,0,3.42,0,0,0
 84-94,0,56.68,0,1.65,0.63,0,0,0,0,15.53,0.65,12.12,14.41,3.28,7.6,0.66,16.97,0,631.51,0,0,0,0,0
 96-106,0,25.56,0,0,0,0,2.5,0.78,0,8.26,3.34,3.71,7.3,0,11.42,0.6,20.79,0,296.32,0,0,2.61,0.65,10.31
108-118,2.81,22.17,0,0.45,1.14,0,9.08,2.26,0,11.43,1.58,0.94,8.31,0,15.62,0,20.3,0,190.34,0,0,0.46,0,0
120,3.9,23.09,0,0,0,5.27,20.05,1.29,0,36.37,0,8.68,2.57,0,25.71,0,7.34,0,134.89,0,0,12.35,0,0
