stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,immune,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,presomitic_mesoderm,slow_muscle,somites,spinal_cord,xanthophores
 14-21,0,1.82,0,1.06,0,0,0,0,0,0,0,0,0,2.9,0.88,0,1.34,0,0.89,2.09,0
 24-34,0,1.03,0,0.85,1.8,0,0.7,0,0,1.34,0,0,0,10.31,0,0,0,0,0,1.59,0
 36-46,0,12.54,4.05,3.38,0,0,0,0,0,0,0,0,0,11.49,2.01,0,0,0,0,0,0
 48-58,0,0,0,0.44,0.92,0,0.46,0,5.19,1.66,0,0,0,2.86,0,0.9,0,0,0,0.88,0
 60-70,1.1,0.81,0,0.6,0,0,0,0,0,1.53,0,0,0,6.15,0,0,0,0,0,4.95,0
 72-82,0,0,0,0.85,0,0,0,0,0,7.59,0,0,0.74,18.09,0,0,0,0,0,0,0
 84-94,0,0,0,7.84,0.56,0,0,0.68,0,3.64,0,0.94,0,16.12,0,0,0,0,0,0,0.64
 96-106,0,0,0,5.08,0,1.02,0,0.69,0,0.66,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0.44,0,3.42,0.55,0,0,0,0,2.37,5.46,0,2.08,4.21,0,0,0,3.18,0,0,2.08
120,0,0,0,16.81,0,0,0,0,0,1.14,0,0,0,42.07,0,0,0,0,0,0,0
