stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,211.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,40.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.69,0,0,0,10.18,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,5.43,0,31.89,0,15.69,0,0,0,0,0,0,9.19,0,0,0,0,0,0,0,0,0,0,0,514.9,0,0,0,18.18,0,0,5.55,3.8,0,0,0,0,0,0,0,0
 14-21,0,1.07,1.07,170.18,3.82,0,0,4.6,0,1.22,2.99,0,0,0,24.97,0,0,0,0,55.2,0,0,10.65,51.11,0,0,0,0,0,4.22,0,0,1.1,1.89,35.56,0,0,0,0,0
 24-34,0,5.74,1.19,35.41,0,10.19,0,48.19,0,0,6.51,0,7.41,0,3.35,0,0,1.53,1.71,43.42,0,1.77,7.81,244.5,0,9.05,0.68,0,0,15.87,0,0.88,0.85,1.48,107.62,0,0,0,0,0
 36-46,0,0,1.19,4.53,0,13.85,0,18.11,3.07,4.68,1.14,0,13.79,0,0,1.36,0,0,0,30.09,0,5.84,2.86,831.15,0.56,11.51,0,0,0,33.34,0,0,0,0.83,259.82,0,0,2.68,0,0
 48-58,0,0,0,11.78,1.19,90.74,0,40.83,0,33.47,0.67,2.13,2.23,0.39,5.8,0,0,0,0,45.83,0,4.04,16.09,1348.89,3.9,4.43,0,0,0,26.87,0,0,0,0,262.71,0,1.43,0.63,0,5.37
 60-70,0,0,0,6.23,1.04,144.14,0,77.01,1.53,44.01,3.1,2,2.07,8.63,1.63,0,0,0,0.86,114.5,0,4.18,8.32,1716.54,0,8.3,2.64,0,0,32.8,0,0,0,0,347.05,0,1.03,7.59,1.72,6.15
 72-82,0,2.12,0.75,6.33,0,210.24,3.16,24.6,5.4,29.3,1.37,1.66,4.8,4.56,0,0,1.05,0,0,133.01,0.92,12.62,0.67,1519.3,0,10.67,3.96,0,2.12,24.22,0,0,0,0,263,0,1.85,7.21,10.13,9.7
 84-94,0,0,0,18.16,6.75,128.95,1.47,34.57,1.43,26.98,2.03,0,1.45,4.41,2.79,1.52,0,0,0,102.2,0,4.37,10.73,901.24,0,2.76,1.37,0,0,38.6,0,1.07,0,0,121.63,2.47,6.39,0,15.77,0.59
 96-106,0,2.3,0,18.56,0,126.71,0.71,34.51,3.55,30.11,8.75,0,2.78,5.75,3.53,0.71,0,3.8,0.78,96.66,0,22.92,0,712.05,0,5.44,5.08,0,0,19.27,0,0.61,0,0,52.74,3.78,3.34,4.04,16.42,7.15
108-118,0,2.52,0,32.24,2.07,161.55,1,64.92,0,15.56,2.42,0,1.64,13.45,4.24,0,0.89,3.99,1.05,83.31,1.08,5.79,8.12,994,0.92,3.54,1.79,0,0,12.05,0,0,0.56,0,38.97,2.31,1.98,0,18.12,0.43
120,0,2.52,0,28.99,15.72,129.57,0,36.86,7.56,62.84,0,0,0,26.12,0,0,1.69,0,0,81.84,0,0,2.62,1558.43,0,11.76,26.99,0,6.17,29.07,0,0,0,0,111.54,1.63,7.08,12.05,18.9,0
