stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,0,91.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,277.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.1,11.32,4.89,0,0,0,110.33,0,0,0,3.79,0,0,0,0,0,0,0,0,477.29,4.69,0,0,122.27,0,0,0,0,0,0,0,0,0
 10-12,0,0,26.43,0,0,0,35.24,0,0,0,3.97,0,0,0,0,0,0,0,0,285.39,0,0,0,88.78,6.67,0,6.12,0,0,0,0,0,0
 14-21,0,0,2.6,25.54,11.49,0,40.02,0,1.97,1.91,0,0,0,1.05,0,0,13.66,0,8.56,175.65,4.46,0,1.09,2.58,1.47,0.91,19.82,1.91,73.64,39.3,0,0,1.06
 24-34,0,0,6.39,10.17,0.69,0,30.72,0,0.63,0,0,0,6.32,0,0,3.2,23.77,1.25,5.13,159.51,0.6,0,1.22,0,7.47,0,0.97,0,16.88,21.88,0,5.27,0
 36-46,0,0,0,0,0,0,16.28,0.75,3.01,0.56,0,0,0,0,0,0,1.64,0,3.57,54.92,0,2.62,0,0,5.84,0,0,0,1.69,18.37,0,1.53,0.7
 48-58,0,0,0,0.46,0,0,12.91,0,2.13,0.49,0,0,0.52,0.48,0,0.41,0.99,0,0.82,29.23,0,0,0.38,0,2.89,0,0,0,0,8.09,0,0.46,0
 60-70,0,0,0,0,0.63,0,7.4,0,13.7,0,0,0,0,0,0.76,0,2.92,0,0,36.5,0.98,0.92,0.59,0,0.81,0,0,0,0,9.07,0,0.64,0
 72-82,0,0,0,0,0,0,4.52,1.3,7.03,0,0,0,1.73,0,0,0,3.91,0,1.44,34.36,0,1.37,0.56,0,1.61,0,0,0,0,5.88,0,0,0
 84-94,0,0,0,0,0,0.57,3.28,0,1.97,1.24,0,0,0,0,0,1.05,2.8,0,1.49,22.29,0,0,0.87,0,0.58,0,0,0,0,3.42,0,3.7,0
 96-106,0,0,0,1.41,0,0,0,2.05,0,0,0,1.55,0.7,0,0,0,1.48,0,0,7.72,0,2.81,0,0,7.64,0,0,0,0,1.07,0,6.47,0
108-118,0,0,0,7.99,0.52,0,8.31,0,2.24,0.59,0,0,0.43,0.6,0,0,4.31,0,1.27,18.72,0,0,0,0,8.29,0,0,0,0,0,0.51,1.73,0
120,0,0,0,6.83,2.1,0,2.96,6.63,0,0,0,0,2.34,0,0,0,4.05,0,1.28,28.68,0,0,0,0,5.6,0,0,0,0,0,0,0,0
