stage,blastomeres,epidermis,eye,fin_epithelia,glial,immune,ionocyte,liver,mesenchyme,muscle,neural,pronephros,slow_muscle,somites,vasculature
  3-4,24.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,65.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,9.11,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,10.7,0,0,0,0
 14-21,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.66,0,0,0,0,0,0.84,0
 36-46,0,0,0.66,0,0,0,0,0,0.8,0,2.58,0,0,0,0
 48-58,0,0,0,0,0.65,0,0,0,0,0,5.5,0,0,0,0
 60-70,0,0,1.55,0,0,0,0,0,2.51,2.47,1.79,0,0,0,0
 72-82,0,0,0,0,1.94,0,0,0,0.86,0,1.01,0,0,0,0
 84-94,0,0,8.63,0,1.2,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.05,0.8,0.77,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0.78,0,0.41,0,1.73
120,0,0,3.39,1.73,0,1.97,0,0,0,0,2.58,24.27,0,0,0
