stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_epithelia,glial,gut,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,presomitic_mesoderm,spinal_cord,vasculature,xanthophores
  3-4,0,53.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,21.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,281.74,0,0,3.91,0,0,0,0,0,0,10.16,366.77,0,0,0,0,0,0,0
 10-12,0,0,0,16.52,0,0,0,0,0,0,24.93,497.82,0,0,15.66,0,0,0,0
 14-21,0,0,0,0,0,0,0,1.38,0,0,5.1,498.48,0,0,12.1,0.91,2.77,4.71,0
 24-34,0,0,0.66,0,0,0,0.8,0,0,0,10.68,25.67,0,0,0,0,1.99,0.6,0
 36-46,0,0,0,0,0,0,0,0,0,0,21.54,5.06,0,0,0,0,2.26,0,0
 48-58,0,0,0,0,0,0,0,0,0,0.48,12.27,0,0,0,0,0,1.22,0.47,1.44
 60-70,0,0,0,0,0,4.49,0,2.08,0,0,24.33,0,0,0,0,0,2.05,0,0
 72-82,0,0,0.93,0,0,0.75,0,0.6,0,3.68,30.96,0,0,0.71,0,0,1.83,3.16,0
 84-94,0,0,0,0,0,2.96,0,0,0,0,28.32,0,0,0.99,0,0,0,2.13,0
 96-106,0,0,0,0,0,0.58,0,3.11,0,0,11.38,0,0.87,1.03,0,0,0,0,0
108-118,0,0,0,0.74,2.52,1.99,0,0,0.81,0,29.05,0,0,2.19,0,0,0,0,0
120,0,0,0,0,0,0,0,19.94,0,0,23.58,0,0,12.31,0,0,0,0,0
