stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,ionocyte,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,123.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.67,23.87,0,4.08,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.26,0,0,0,9.4,0,0,0,0,0,0,0,0,0,0,0,118.33,3.95,0,59.89,0,0,5.47,0,0,4.75,0,0,0,0,0
 14-21,0,0,1.57,6.01,0,1.52,0,0,0,0,0,0,0,0,12.36,0,8.99,33.38,2.59,0.93,0,0,0,0,2.43,0.9,0.86,15.12,0,0,0,0
 24-34,0,0,0.6,0,0,3.31,0,0,4.21,5.36,0,0,0,0,104.04,0,15.89,127.94,0.59,0,0,0,0,0,0,0,2.64,31.67,0,0.6,0,0
 36-46,0,0,0,0,0,5.97,0,0,3.58,17.31,0,0,0,1.33,112.83,0.67,25.65,80.82,0.55,0,0,0,0,0,0,0,0,17.37,0,0,0,0
 48-58,0,0,2.3,0,0,6.98,0.58,0.89,5.81,22.78,0,0,0,0,134.16,2.52,10.85,83.07,0,0,0,1.04,2.68,0,0,0,0,16.24,1.66,0,0,0.63
 60-70,0,0,0,0,0,12.87,0.93,0,8.38,35.52,0,0,0,0,151.55,3.21,17.9,24.16,8.75,0,0,1.22,0,0,0,0,0,6.92,7.55,0,0,0
 72-82,0,0,0.78,0,0,13.11,0,0,22.09,24.77,0,0,0,0,261.6,2.8,8.49,16.99,0,0,0,0.72,2.77,0,0,0,0,9.45,3.55,0,1.28,0
 84-94,0,0,0,0,0,9.34,5.58,0,4.61,9.08,0,0,0.66,0,151.69,6.25,5.65,13.88,0,0.74,0,1.66,0,0,0,0,0,0,2.48,0.93,0.87,0
 96-106,0,0,1.66,0,0,13.34,0.87,0,4.28,18.31,0.71,0,0,0,141.75,0,3.37,22.56,0,0,0,3.49,0.71,0,0,0,0,2.49,1.21,0.75,1.31,0
108-118,0,0.74,2.69,6.38,3.04,17.4,0.49,0,8.17,17.88,0,0,4.51,1.95,148.12,11.14,1.98,9.86,0,0,0,0,0,0,0,0,0,0,0,0,1.69,0
120,0,0,0,0,0,14.95,0,0,24.6,33.94,2.63,1.45,6.89,0,216.76,0,15.57,18.22,0,0,0,0,0,0,0,0,0,7.24,0,0,21.44,0
