stage,endocrine_pancreas,eye,immune,lateral_line,mesenchyme,neural,notochord,spinal_cord
 14-21,0,0,0,0,0,1.04,0,0
 24-34,0,0,0,0,0,4.66,0,1.45
 36-46,0,0.6,0,0,0,1.08,0,0
 48-58,0,0,0,0,1.51,1.01,0,0
 72-82,0,0,0,0,0.61,0.68,0,0
 84-94,1.29,0,0,0,0,7.05,0,0
 96-106,0,0.75,0,0.71,0,0,0,0
108-118,0,0,0.6,0,0,0,0,0
120,0,2.91,0,0,0,0,3.33,0
