stage,endocrine_pancreas,eye,glial,iridophores,mesenchyme,neural,olfactory,paraxial_mesoderm,pgc,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,5.99,7.7,0,0
 10-12,0,0,0,0,0,0,0,3.77,0,0,0
 24-34,0,0,0,0,0,5.11,1.34,0,0,0,0.94
 36-46,0,2.94,0,0,0,21.91,0,0,0,7.86,0
 48-58,0,4.23,2.92,0,0.55,40.77,0,0,0,3.45,0
 60-70,0,27.65,0,1.16,0,36.36,0,0,0,7.27,0.9
 72-82,0.97,23.18,0,0,6.5,22.32,2.13,0,0,0,0
 84-94,0,35.07,1.06,0,0,21.87,0,0,0,0,0
 96-106,0,15.11,0,0,0,14.41,0,0,0,4.9,0
108-118,0,18.39,0.45,0,0,14.35,0,0,0,0,0
120,0,16.32,0,0,0,19.08,0,0,0,0,0
